variant,seed,threshold,ap50,precision,recall,fp_image_rate,mean_preds_per_knotfree,mean_conf_fp,num_positive_images,num_knotfree_images,knotfree_fp_images,tp50,fp50_positive,fn50
a1_crop,43,0.55,0.644588,0.831858,0.641091,0.030622,0.033133,0.628577,696,5976,183,752,152,421
a1_crop,43,0.60,0.605489,0.860728,0.584825,0.019411,0.020415,0.662244,696,5976,116,686,111,487
a1_crop,43,0.65,0.544306,0.882180,0.510656,0.010542,0.010877,0.694619,696,5976,63,599,80,574
a1_crop,43,0.70,0.478520,0.898936,0.432225,0.004016,0.004016,0.737992,696,5976,24,507,57,666
a1_crop,43,0.75,0.373183,0.923256,0.338448,0.001171,0.001171,0.772732,696,5976,7,397,33,776
a1_crop,43,0.80,0.227782,0.946565,0.211424,0.000000,0.000000,nan,696,5976,0,248,14,925
a1_crop,43,0.85,0.088587,0.944954,0.087809,0.000000,0.000000,nan,696,5976,0,103,6,1070
a1_crop,43,0.90,0.013315,1.000000,0.014493,0.000000,0.000000,nan,696,5976,0,17,0,1156
a1_crop,43,0.95,0.000000,0.000000,0.000000,0.000000,0.000000,nan,696,5976,0,0,0,1173
a1_crop,44,0.05,0.771792,0.417221,0.855072,0.170181,0.381024,0.187870,696,5976,1017,1003,1401,170
a1_crop,44,0.10,0.766720,0.513795,0.841432,0.131861,0.225736,0.269031,696,5976,788,987,934,186
a1_crop,44,0.15,0.756464,0.580084,0.824382,0.108936,0.159639,0.329734,696,5976,651,967,700,206
a1_crop,44,0.20,0.748774,0.623847,0.807332,0.092202,0.121486,0.379300,696,5976,551,947,571,226
a1_crop,44,0.25,0.739790,0.663793,0.787724,0.077477,0.094210,0.424171,696,5976,463,924,468,249
a1_crop,44,0.30,0.731747,0.699149,0.770673,0.063253,0.074799,0.462690,696,5976,378,904,389,269
a1_crop,44,0.35,0.716930,0.727947,0.752771,0.051037,0.059237,0.499259,696,5976,305,883,330,290
a1_crop,44,0.40,0.703009,0.758437,0.728048,0.044177,0.050033,0.522340,696,5976,264,854,272,319
a1_crop,44,0.45,0.682922,0.784351,0.700767,0.033635,0.036814,0.556847,696,5976,201,822,226,351
a1_crop,44,0.50,0.659070,0.807292,0.660699,0.023427,0.025435,0.593624,696,5976,140,775,185,398
a1_crop,44,0.55,0.619571,0.829040,0.603581,0.016901,0.017905,0.622901,696,5976,101,708,146,465
a1_crop,44,0.60,0.590453,0.859192,0.561807,0.010207,0.010375,0.660892,696,5976,61,659,108,514
a1_crop,44,0.65,0.535787,0.876712,0.491049,0.006024,0.006024,0.687404,696,5976,36,576,81,597
a1_crop,44,0.70,0.458290,0.893657,0.408355,0.001841,0.001841,0.736342,696,5976,11,479,57,694
a1_crop,44,0.75,0.368104,0.915049,0.321398,0.000335,0.000335,0.779754,696,5976,2,377,35,796
a1_crop,44,0.80,0.229140,0.929688,0.202899,0.000000,0.000000,nan,696,5976,0,238,18,935
a1_crop,44,0.85,0.092521,0.962617,0.087809,0.000000,0.000000,nan,696,5976,0,103,4,1070
a1_crop,44,0.90,0.008093,1.000000,0.010230,0.000000,0.000000,nan,696,5976,0,12,0,1161
a1_crop,44,0.95,0.000000,0.000000,0.000000,0.000000,0.000000,nan,696,5976,0,0,0,1173
a2_colorjitter,42,0.05,0.765529,0.456948,0.855072,0.133534,0.292001,0.197557,696,5976,798,1003,1192,170
a2_colorjitter,42,0.10,0.757698,0.543490,0.836317,0.103246,0.183066,0.273659,696,5976,617,981,824,192
a2_colorjitter,42,0.15,0.748968,0.598877,0.818414,0.087349,0.131024,0.333526,696,5976,522,960,643,213
a2_colorjitter,42,0.20,0.742438,0.641497,0.803922,0.073461,0.100736,0.382314,696,5976,439,943,527,230
a2_colorjitter,42,0.25,0.732893,0.675953,0.786019,0.060408,0.077309,0.430021,696,5976,361,922,442,251
a2_colorjitter,42,0.30,0.721891,0.703906,0.768116,0.049699,0.061412,0.470388,696,5976,297,901,379,272
a2_colorjitter,42,0.35,0.711186,0.732218,0.745951,0.041834,0.049197,0.507069,696,5976,250,875,320,298
a2_colorjitter,42,0.40,0.691164,0.754683,0.721228,0.033635,0.038822,0.542313,696,5976,201,846,275,327
a2_colorjitter,42,0.45,0.669508,0.780676,0.688832,0.026439,0.029451,0.580006,696,5976,158,808,227,365
a2_colorjitter,42,0.50,0.645804,0.804574,0.659847,0.020917,0.022590,0.610307,696,5976,125,774,188,399
a2_colorjitter,42,0.55,0.621824,0.832009,0.624893,0.015395,0.016566,0.639918,696,5976,92,733,148,440
a2_colorjitter,42,0.60,0.587477,0.850064,0.570332,0.011714,0.012383,0.661962,696,5976,70,669,118,504
a2_colorjitter,42,0.65,0.543895,0.875000,0.507246,0.006526,0.006861,0.692937,696,5976,39,595,85,578
a2_colorjitter,42,0.70,0.470929,0.908289,0.439045,0.001841,0.001841,0.740482,696,5976,11,515,52,658
a2_colorjitter,42,0.75,0.376313,0.919101,0.348679,0.000837,0.000837,0.772001,696,5976,5,409,36,764
a2_colorjitter,42,0.80,0.261565,0.942953,0.239557,0.000000,0.000000,nan,696,5976,0,281,17,892
a2_colorjitter,42,0.85,0.123510,0.949640,0.112532,0.000000,0.000000,nan,696,5976,0,132,7,1041
a2_colorjitter,42,0.90,0.021949,1.000000,0.019608,0.000000,0.000000,nan,696,5976,0,23,0,1150
a2_colorjitter,42,0.95,0.000000,0.000000,0.000000,0.000000,0.000000,nan,696,5976,0,0,0,1173
a2_colorjitter,43,0.05,0.768721,0.444005,0.861893,0.134371,0.291499,0.188118,696,5976,803,1011,1266,162
a2_colorjitter,43,0.10,0.760902,0.532866,0.843137,0.099230,0.170850,0.271451,696,5976,593,989,867,184
a2_colorjitter,43,0.15,0.752008,0.597772,0.823529,0.079987,0.119311,0.335789,696,5976,478,966,650,207
a2_colorjitter,43,0.20,0.743313,0.643929,0.804774,0.065930,0.089190,0.390128,696,5976,394,944,522,229
a2_colorjitter,43,0.25,0.734430,0.683900,0.789429,0.056894,0.071620,0.431041,696,5976,340,926,428,247
a2_colorjitter,43,0.30,0.721016,0.713604,0.764706,0.048695,0.059237,0.463422,696,5976,291,897,360,276
a2_colorjitter,43,0.35,0.706218,0.742321,0.741688,0.041165,0.048527,0.494663,696,5976,246,870,302,303
a2_colorjitter,43,0.40,0.692667,0.767760,0.718670,0.031961,0.036814,0.532571,696,5976,191,843,255,330
a2_colorjitter,43,0.45,0.673866,0.801980,0.690537,0.025268,0.028112,0.565458,696,5976,151,810,200,363
a2_colorjitter,43,0.50,0.649925,0.823276,0.651321,0.020248,0.021252,0.593349,696,5976,121,764,164,409
a2_colorjitter,43,0.55,0.614792,0.840855,0.603581,0.013554,0.013722,0.631848,696,5976,81,708,134,465
a2_colorjitter,43,0.60,0.578311,0.860927,0.554135,0.008869,0.008869,0.664617,696,5976,53,650,105,523
a2_colorjitter,43,0.65,0.526073,0.887676,0.485081,0.004685,0.004685,0.697573,696,5976,28,569,72,604
a2_colorjitter,43,0.70,0.448809,0.907157,0.399829,0.001506,0.001506,0.753212,696,5976,9,469,48,704
a2_colorjitter,43,0.75,0.354897,0.920308,0.305200,0.000837,0.000837,0.778017,696,5976,5,358,31,815
a2_colorjitter,43,0.80,0.242385,0.925373,0.211424,0.000167,0.000167,0.847559,696,5976,1,248,20,925
a2_colorjitter,43,0.85,0.097736,0.925926,0.085251,0.000000,0.000000,nan,696,5976,0,100,8,1073
a2_colorjitter,43,0.90,0.024568,1.000000,0.021313,0.000000,0.000000,nan,696,5976,0,25,0,1148
a2_colorjitter,43,0.95,0.000000,0.000000,0.000000,0.000000,0.000000,nan,696,5976,0,0,0,1173
a2_colorjitter,44,0.05,0.766300,0.449595,0.851662,0.127677,0.277945,0.187254,696,5976,763,999,1223,174
a2_colorjitter,44,0.10,0.754704,0.529508,0.826087,0.098728,0.163320,0.268971,696,5976,590,969,861,204
a2_colorjitter,44,0.15,0.746410,0.591646,0.809037,0.080823,0.115797,0.328847,696,5976,483,949,655,224
a2_colorjitter,44,0.20,0.734088,0.638488,0.791986,0.067938,0.090361,0.372794,696,5976,406,929,526,244
a2_colorjitter,44,0.25,0.727638,0.676536,0.779199,0.056560,0.069779,0.416953,696,5976,338,914,437,259
a2_colorjitter,44,0.30,0.718629,0.706530,0.765558,0.047189,0.055723,0.452714,696,5976,282,898,373,275
a2_colorjitter,44,0.35,0.708247,0.736931,0.745098,0.036814,0.041499,0.497325,696,5976,220,874,312,299
a2_colorjitter,44,0.40,0.690619,0.763851,0.716965,0.029953,0.032965,0.529615,696,5976,179,841,260,332
a2_colorjitter,44,0.45,0.671093,0.794118,0.690537,0.021754,0.023762,0.570145,696,5976,130,810,210,363
a2_colorjitter,44,0.50,0.654379,0.816649,0.660699,0.017403,0.018240,0.599051,696,5976,104,775,174,398
a2_colorjitter,44,0.55,0.621217,0.843091,0.613811,0.012550,0.012885,0.629857,696,5976,75,720,134,453
a2_colorjitter,44,0.60,0.573738,0.869799,0.552430,0.008199,0.008199,0.661134,696,5976,49,648,97,525
a2_colorjitter,44,0.65,0.524274,0.889752,0.488491,0.004016,0.004016,0.699726,696,5976,24,573,71,600
a2_colorjitter,44,0.70,0.450090,0.918762,0.404945,0.001506,0.001506,0.741006,696,5976,9,475,42,698
a2_colorjitter,44,0.75,0.338589,0.928382,0.298380,0.000669,0.000669,0.772169,696,5976,4,350,27,823
a2_colorjitter,44,0.80,0.225366,0.935484,0.197783,0.000000,0.000000,nan,696,5976,0,232,16,941
a2_colorjitter,44,0.85,0.114404,0.938462,0.104007,0.000000,0.000000,nan,696,5976,0,122,8,1051
a2_colorjitter,44,0.90,0.035370,1.000000,0.029838,0.000000,0.000000,nan,696,5976,0,35,0,1138
a2_colorjitter,44,0.95,0.000000,0.000000,0.000000,0.000000,0.000000,nan,696,5976,0,0,0,1173
p4_a4_combined,42,0.05,0.751293,0.406710,0.847400,0.222892,0.529284,0.207332,696,5976,1332,994,1450,179
p4_a4_combined,42,0.10,0.746353,0.491423,0.830350,0.176205,0.326975,0.291883,696,5976,1053,974,1008,199
p4_a4_combined,42,0.15,0.742807,0.553191,0.820119,0.146921,0.235274,0.357792,696,5976,878,962,777,211
p4_a4_combined,42,0.20,0.739141,0.594628,0.811594,0.125837,0.187082,0.405575,696,5976,752,952,649,221
p4_a4_combined,42,0.25,0.733789,0.630872,0.801364,0.110609,0.154451,0.444073,696,5976,661,940,550,233
p4_a4_combined,42,0.30,0.727611,0.665227,0.787724,0.095214,0.126339,0.482101,696,5976,569,924,465,249
p4_a4_combined,42,0.35,0.714825,0.693138,0.766411,0.081995,0.104920,0.514162,696,5976,490,899,398,274
p4_a4_combined,42,0.40,0.699046,0.710784,0.741688,0.069779,0.086513,0.543436,696,5976,417,870,354,303
p4_a4_combined,42,0.45,0.685096,0.733857,0.716965,0.057229,0.068440,0.575236,696,5976,342,841,305,332
p4_a4_combined,42,0.50,0.668012,0.762357,0.683717,0.046687,0.053213,0.604102,696,5976,279,802,250,371
p4_a4_combined,42,0.55,0.647349,0.787942,0.646206,0.034304,0.038153,0.635199,696,5976,205,758,204,415
p4_a4_combined,42,0.60,0.620431,0.825287,0.612106,0.023260,0.025100,0.666502,696,5976,139,718,152,455
p4_a4_combined,42,0.65,0.575408,0.854278,0.544757,0.012885,0.013387,0.704110,696,5976,77,639,109,534
p4_a4_combined,42,0.70,0.510255,0.878981,0.470588,0.006024,0.006024,0.743942,696,5976,36,552,76,621
p4_a4_combined,42,0.75,0.428214,0.918651,0.394714,0.002008,0.002008,0.792160,696,5976,12,463,41,710
p4_a4_combined,42,0.80,0.298638,0.933934,0.265132,0.000502,0.000502,0.849766,696,5976,3,311,22,862
p4_a4_combined,42,0.85,0.134905,0.929032,0.122762,0.000167,0.000167,0.885814,696,5976,1,144,11,1029
p4_a4_combined,42,0.90,0.019895,0.935484,0.024723,0.000000,0.000000,nan,696,5976,0,29,2,1144
p4_a4_combined,42,0.95,0.000000,0.000000,0.000000,0.000000,0.000000,nan,696,5976,0,0,0,1173
p4_a4_combined,43,0.05,0.764030,0.396122,0.853367,0.226071,0.551707,0.194351,696,5976,1351,1001,1526,172
p4_a4_combined,43,0.10,0.759015,0.486379,0.837170,0.171519,0.332162,0.276275,696,5976,1025,982,1037,191
p4_a4_combined,43,0.15,0.749899,0.546848,0.820972,0.142068,0.234438,0.340244,696,5976,849,963,798,210
p4_a4_combined,43,0.20,0.742772,0.598242,0.812447,0.119980,0.178380,0.393078,696,5976,717,953,640,220
p4_a4_combined,43,0.25,0.737520,0.640273,0.799659,0.104083,0.142236,0.436368,696,5976,622,938,527,235
p4_a4_combined,43,0.30,0.729565,0.665217,0.782609,0.089357,0.117303,0.470964,696,5976,534,918,462,255
p4_a4_combined,43,0.35,0.725560,0.696319,0.774084,0.075803,0.094545,0.506452,696,5976,453,908,396,265
p4_a4_combined,43,0.40,0.709562,0.721903,0.750213,0.063253,0.076640,0.536803,696,5976,378,880,339,293
p4_a4_combined,43,0.45,0.693161,0.750668,0.718670,0.049364,0.058233,0.572982,696,5976,295,843,280,330
p4_a4_combined,43,0.50,0.671936,0.785855,0.682012,0.039826,0.045181,0.601781,696,5976,238,800,218,373
p4_a4_combined,43,0.55,0.648569,0.812903,0.644501,0.029618,0.032965,0.630229,696,5976,177,756,174,417
p4_a4_combined,43,0.60,0.610857,0.845311,0.591645,0.019411,0.021921,0.658304,696,5976,116,694,127,479
p4_a4_combined,43,0.65,0.550808,0.870922,0.523444,0.010040,0.010375,0.699603,696,5976,60,614,91,559
p4_a4_combined,43,0.70,0.464704,0.888693,0.428815,0.003849,0.003849,0.746168,696,5976,23,503,63,670
p4_a4_combined,43,0.75,0.364696,0.907834,0.335891,0.001673,0.001673,0.774281,696,5976,10,394,40,779
p4_a4_combined,43,0.80,0.232996,0.931900,0.221654,0.000167,0.000167,0.820619,696,5976,1,260,19,913
p4_a4_combined,43,0.85,0.077764,0.903846,0.080136,0.000000,0.000000,nan,696,5976,0,94,10,1079
p4_a4_combined,43,0.90,0.014176,1.000000,0.017050,0.000000,0.000000,nan,696,5976,0,20,0,1153
p4_a4_combined,43,0.95,0.000000,0.000000,0.000000,0.000000,0.000000,nan,696,5976,0,0,0,1173
p4_a4_combined,44,0.05,0.763093,0.416770,0.855925,0.190930,0.447959,0.194642,696,5976,1141,1004,1405,169
p4_a4_combined,44,0.10,0.756896,0.505365,0.843137,0.148260,0.269913,0.276117,696,5976,886,989,968,184
p4_a4_combined,44,0.15,0.748439,0.560070,0.822677,0.123494,0.192436,0.338209,696,5976,738,965,758,208
p4_a4_combined,44,0.20,0.743946,0.604444,0.811594,0.105254,0.150100,0.384780,696,5976,629,952,623,221
p4_a4_combined,44,0.25,0.735556,0.637671,0.793691,0.091198,0.119143,0.426695,696,5976,545,931,529,242
p4_a4_combined,44,0.30,0.728838,0.673560,0.777494,0.076138,0.095884,0.463740,696,5976,455,912,442,261
p4_a4_combined,44,0.35,0.714813,0.705976,0.755328,0.063922,0.077309,0.496961,696,5976,382,886,369,287
p4_a4_combined,44,0.40,0.704086,0.738646,0.734868,0.053380,0.061078,0.529436,696,5976,319,862,305,311
p4_a4_combined,44,0.45,0.686180,0.772600,0.706735,0.043005,0.047356,0.560004,696,5976,257,829,244,344
p4_a4_combined,44,0.50,0.663471,0.800203,0.672634,0.032129,0.034639,0.592667,696,5976,192,789,197,384
p4_a4_combined,44,0.55,0.638438,0.833708,0.632566,0.020080,0.021252,0.635656,696,5976,120,742,148,431
p4_a4_combined,44,0.60,0.598399,0.854430,0.575448,0.013220,0.013722,0.669764,696,5976,79,675,115,498
p4_a4_combined,44,0.65,0.537823,0.874627,0.499574,0.008032,0.008032,0.702277,696,5976,48,586,84,587
p4_a4_combined,44,0.70,0.448283,0.901119,0.411765,0.003514,0.003514,0.738375,696,5976,21,483,53,690
p4_a4_combined,44,0.75,0.364456,0.922892,0.326513,0.001171,0.001171,0.768619,696,5976,7,383,32,790
p4_a4_combined,44,0.80,0.234333,0.939163,0.210571,0.000000,0.000000,nan,696,5976,0,247,16,926
p4_a4_combined,44,0.85,0.086145,0.928571,0.088662,0.000000,0.000000,nan,696,5976,0,104,8,1069
p4_a4_combined,44,0.90,0.016317,0.961538,0.021313,0.000000,0.000000,nan,696,5976,0,25,1,1148
p4_a4_combined,44,0.95,0.000000,0.000000,0.000000,0.000000,0.000000,nan,696,5976,0,0,0,1173
