variant,variant_label,tau_star,precision_mean,precision_std,retained_recall_mean,retained_recall_std,retained_AP50_mean,retained_AP50_std
baseline,Baseline,0.8,0.9362726666666666,0.009168801248436626,0.19522599999999998,0.007813291559899705,0.22013366666666667,0.0025378184200870947
p1_clahe,P1 CLAHE,0.85,0.963056,0.021659575619111266,0.08212533333333333,0.003445378982540718,0.08988366666666665,0.0086581310531392
p2_illumination,P2 illumination,0.8,0.944567,0.012430457594151581,0.180449,0.028381824483285082,0.20551533333333336,0.03804527597919791
p3_unsharp,P3 unsharp,0.85,0.9572473333333334,0.009059197333833363,0.09349233333333333,0.017561239487386228,0.10298866666666666,0.016966932849909362
a1_crop,A1 crop,0.8,0.9403113333333333,0.009248176703184995,0.2011936666666667,0.01118096643109768,0.22099533333333335,0.012948728792176224
a2_colorjitter,A2 colour jitter,0.85,0.9380093333333334,0.011863478804015856,0.10059666666666667,0.013956576239656106,0.11188333333333333,0.013070581063339658
p4_a4_combined,P4+A4 combined,0.9,0.9656739999999999,0.032456254189293016,0.021028666666666668,0.0038443941438584743,0.016796000000000002,0.0028894326432709933
