job_id,variant,seed,gpu_id,batch_size,start_time,end_time,duration_min,status,mAP50,attempt,error
vnwoodknot_baseline_seed43,baseline,43,1,4,2026-08-24T15:41:23.238559+00:00,2026-08-24T16:24:03.258905+00:00,42.667,ok,0.8672731584467668,1,
vnwoodknot_baseline_seed42,baseline,42,0,4,2026-08-24T15:41:23.237755+00:00,2026-08-24T16:25:46.435112+00:00,44.387,ok,0.9039176204672292,1,
vnwoodknot_baseline_seed44,baseline,44,1,4,2026-08-24T16:24:03.260201+00:00,2026-08-24T17:07:42.182525+00:00,43.649,ok,0.8812742513250602,1,
vnwoodknot_a1_crop_seed42,a1_crop,42,0,4,2026-08-24T16:25:46.436607+00:00,2026-08-24T17:10:03.131722+00:00,44.278,ok,0.7567673398889395,1,
vnwoodknot_a1_crop_seed43,a1_crop,43,1,4,2026-08-24T17:07:42.184118+00:00,2026-08-24T17:50:18.028460+00:00,42.597,ok,0.8111008048769196,1,
vnwoodknot_a1_crop_seed44,a1_crop,44,0,4,2026-08-24T17:10:03.133258+00:00,2026-08-24T17:51:59.110456+00:00,41.933,ok,0.7491545978685,1,
vnwoodknot_a2_colorjitter_seed42,a2_colorjitter,42,1,4,2026-08-24T17:50:18.029332+00:00,2026-08-24T18:32:31.074650+00:00,42.217,ok,0.878235864680099,1,
vnwoodknot_a2_colorjitter_seed43,a2_colorjitter,43,0,4,2026-08-24T17:51:59.111757+00:00,2026-08-24T18:34:42.372546+00:00,42.721,ok,0.911859445435478,1,
vnwoodknot_a2_colorjitter_seed44,a2_colorjitter,44,1,4,2026-08-24T18:32:31.076232+00:00,2026-08-24T19:14:25.394196+00:00,41.905,ok,0.9124981520204527,1,
