dataset,detector,variant,split,n_seeds,precision_mean,precision_std,recall_mean,recall_std,mAP50_mean,mAP50_std,mAP50_95_mean,mAP50_95_std
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a1_crop,test,3,0.745466317068662,0.006514324100864981,0.7251989386159954,0.04589929080142978,0.6951423527866395,0.05888984814951146,0.34424954362029664,0.008396460372541185
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a1_crop,val,3,0.7817850333806203,0.029336135385707285,0.7981071445046258,0.0333801309562732,0.7724287233809344,0.033820974344730644,0.36558755482628386,0.015767742096192233
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a2_colorjitter,test,3,0.876013703860167,0.02958036876604475,0.8281860140075551,0.02019919843144046,0.8859610940985799,0.008860292963083416,0.45458979333584576,0.00431081048833134
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,a2_colorjitter,val,3,0.9005157683283344,0.011338747554211588,0.8830288527205393,0.01190142815248842,0.9009224495411283,0.019651639799028495,0.5080727843852618,0.0071360406313267545
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,baseline,test,3,0.8466645279188266,0.03290536580631498,0.8114529804632326,0.04597160389984682,0.865840171398113,0.02075917558899699,0.44080986956464535,0.02073241775802123
vnwoodknot,fasterrcnn_mobilenet_v3_large_fpn,baseline,val,3,0.8770397908058406,0.025652120726390244,0.8597478347489727,0.025516572516331194,0.8842468332205439,0.018634958383712437,0.49639704168114657,0.00441856041344193
