dataset,variant,variant_label,n_seeds,num_defective_detections_mean,num_defective_detections_std,d_ece_mean,d_ece_std,signed_gap_mean,signed_gap_std,mean_confidence_mean,mean_confidence_std,empirical_precision_mean,empirical_precision_std
vnwoodknot,baseline,Baseline,3,999.3333333333334,73.24160930327332,0.03844387120312275,0.004921796985823387,-0.017756324113628014,0.005198625578987126,0.1365311258139839,0.015086772800672724,0.15428744992761195,0.010607246598464678
vnwoodknot,p1_clahe,P1 CLAHE,3,1043.3333333333333,121.69771293386468,0.040570387435946494,0.004166381679362342,-0.01870515774572031,0.011381810829264635,0.12765524767021755,0.005641166935705584,0.14636040541593787,0.01702178759502125
vnwoodknot,p2_illumination,P2 illumination,3,1209.0,223.242021134015,0.03874121450357705,0.007540480593449008,-0.020453263516334478,0.011627898418345732,0.11020131937153914,0.015271146541014625,0.13065458288787363,0.02670380913449474
vnwoodknot,p3_unsharp,P3 unsharp,3,1076.0,29.715315916207253,0.039340812744197214,0.0030535124972269974,-0.02045655935052131,0.006739677301012666,0.12147645877511426,0.007321999264575342,0.14193301812563558,0.002758024157108291
vnwoodknot,a1_crop,A1 crop,3,1067.6666666666667,264.51717020513684,0.03308609410828957,0.004600184274226494,-0.013149195794493938,0.003673664721467324,0.12786527857119062,0.030111030902897355,0.14101447436568454,0.033413203038468474
vnwoodknot,a2_colorjitter,A2 colour jitter,3,1046.3333333333333,79.39983207370992,0.044581668655021764,0.002449024893202106,-0.026839983403850978,0.006807272923247509,0.1208839835077512,0.006673709452706913,0.1477239669116022,0.010740185685295292
vnwoodknot,p4_a4_combined,P4+A4 combined,3,1017.3333333333334,35.303446479534166,0.03487240354389619,0.00756116188904023,-0.014751190524153022,0.0024686866060228585,0.13113232410766842,0.006295931076545775,0.14588351463182145,0.003827526040905805
vsb_rarefirst,baseline,Baseline,3,7336.666666666667,73.10494739300024,0.024354928412689502,0.0015728101399826522,-0.021370151091585264,0.00035946484444158327,0.12934007986735854,0.0007944775481613891,0.1507102309589438,0.0009130004174722009
vsb_rarefirst,p1_clahe,P1 CLAHE,3,7068.333333333333,366.64196886517686,0.024065630106126,0.002265111349342756,-0.020614142125159583,0.0013735571818087476,0.1356508263699831,0.007888532635207772,0.15626496849514268,0.007668182428299125
vsb_rarefirst,p2_illumination,P2 illumination,3,7566.333333333333,443.06019154662647,0.02326542874825492,0.00047107221537099085,-0.019457309870033208,0.0013019766881496714,0.1270607773368766,0.0070773025810356984,0.14651808720690981,0.007692258648249108
vsb_rarefirst,p3_unsharp,P3 unsharp,3,7339.0,403.2232632177861,0.02380711332113259,0.0005159015564937668,-0.02093802741924627,0.0005949698905035294,0.12969714104171098,0.008448454787024079,0.15063516846095723,0.00811399192407521
vsb_rarefirst,a1_crop,A1 crop,3,11143.666666666666,5043.552352591706,0.017613872970288737,0.001392787951261178,-0.006118618806048363,0.004292302214307777,0.10564494682520563,0.035599832113460246,0.11176356563125399,0.039828249962032124
vsb_rarefirst,a2_colorjitter,A2 colour jitter,3,8551.0,2540.580445488786,0.021571836302011402,0.006683508184015365,-0.01785814325544012,0.006101984390193879,0.11899897908330706,0.028166332505408165,0.1368571223387472,0.034229659719867495
vsb_rarefirst,p4_a4_combined,P4+A4 combined,3,12271.333333333334,3326.6473112329377,0.013738413163003515,0.002490036841133943,-0.002865899893070597,0.001981459911862265,0.09272894709032813,0.025086995728477016,0.09559484698339872,0.027065290081157937
