dataset,variant,seed,split,export_validator_mAP50,offline_mAP50,delta_mAP50,status
vsb_rarefirst,a1_crop,42,test,0.8056159357129437,0.8056159357129435,-1.1102230246251565e-16,PASS
vsb_rarefirst,a1_crop,43,val,0.818072154687816,0.818072154687816,0.0,PASS
vsb_rarefirst,a1_crop,43,test,0.7995461624247628,0.799546162424763,1.1102230246251565e-16,PASS
vsb_rarefirst,a1_crop,44,val,0.8006994329107651,0.8006994329107651,0.0,PASS
vsb_rarefirst,a1_crop,44,test,0.8083055760390774,0.8083055760390775,1.1102230246251565e-16,PASS
vsb_rarefirst,a2_colorjitter,42,val,0.8187576507145942,0.8187576507145943,1.1102230246251565e-16,PASS
vsb_rarefirst,a2_colorjitter,42,test,0.7993104652075532,0.7993104652075532,0.0,PASS
vsb_rarefirst,a2_colorjitter,43,val,0.8216167380052454,0.8216167380052454,0.0,PASS
vsb_rarefirst,a2_colorjitter,43,test,0.8018203172991595,0.8018203172991595,0.0,PASS
vsb_rarefirst,a2_colorjitter,44,val,0.8288601282970027,0.8288601282970027,0.0,PASS
vsb_rarefirst,a2_colorjitter,44,test,0.8000636851652041,0.8000636851652041,0.0,PASS
vsb_rarefirst,p4_a4_combined,42,val,0.8083216789630802,0.8083216789630804,2.220446049250313e-16,PASS
vsb_rarefirst,p4_a4_combined,42,test,0.790953847331578,0.7909538473315779,-1.1102230246251565e-16,PASS
vsb_rarefirst,p4_a4_combined,43,val,0.8082368953634704,0.8082368953634704,0.0,PASS
vsb_rarefirst,p4_a4_combined,43,test,0.7981861334029446,0.7981861334029446,0.0,PASS
vsb_rarefirst,p4_a4_combined,44,val,0.8010728671579262,0.8010728671579262,0.0,PASS
vsb_rarefirst,p4_a4_combined,44,test,0.7912962362730079,0.7912962362730078,-1.1102230246251565e-16,PASS
