dataset,variant,variant_label,split,threshold,n_seeds,n_clean_images,fp_image_rate_mean,fp_image_rate_std,fp_image_rate_ci_lower,fp_image_rate_ci_upper,mean_predictions_per_clean_image_mean,mean_predictions_per_clean_image_std
vnwoodknot,p1_clahe,P1 CLAHE,val,0.85,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.9,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,val,0.95,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.05,3,75,0.013333333656191826,0.013333333656191826,0.0,0.031111110001802444,0.013333333333333334,0.013333333333333334
vnwoodknot,p1_clahe,P1 CLAHE,test,0.1,3,75,0.008888889104127884,0.0076980037755974475,0.0,0.02222222276031971,0.008888888888888889,0.007698003589195011
vnwoodknot,p1_clahe,P1 CLAHE,test,0.15,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,p1_clahe,P1 CLAHE,test,0.2,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,p1_clahe,P1 CLAHE,test,0.25,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,p1_clahe,P1 CLAHE,test,0.3,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,p1_clahe,P1 CLAHE,test,0.35,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.4,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.45,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.5,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.55,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.6,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.65,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.7,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.75,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.8,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.85,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.9,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p1_clahe,P1 CLAHE,test,0.95,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.05,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,p2_illumination,P2 illumination,val,0.1,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,p2_illumination,P2 illumination,val,0.15,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.2,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.25,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.3,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.35,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.4,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.45,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.5,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.55,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.6,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.65,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.7,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.75,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.8,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.85,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.9,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,val,0.95,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.05,3,75,0.008888889104127884,0.0076980037755974475,0.0,0.02222222276031971,0.013333333333333334,0.013333333333333334
vnwoodknot,p2_illumination,P2 illumination,test,0.1,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,p2_illumination,P2 illumination,test,0.15,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.2,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.25,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.3,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.35,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.4,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.45,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.5,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.55,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.6,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.65,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.7,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.75,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.8,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.85,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.9,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p2_illumination,P2 illumination,test,0.95,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.05,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.1,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.15,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.2,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.25,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.3,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.35,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.4,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.45,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.5,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.55,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.6,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.65,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.7,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.75,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.8,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.85,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.9,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,val,0.95,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.05,3,75,0.013333333656191826,0.013333333656191826,0.0,0.031111110001802444,0.013333333333333334,0.013333333333333334
vnwoodknot,p3_unsharp,P3 unsharp,test,0.1,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.15,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.2,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.25,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.3,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.35,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.4,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.45,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.5,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.55,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.6,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.65,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.7,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.75,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.8,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.85,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.9,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,p3_unsharp,P3 unsharp,test,0.95,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.05,3,75,0.022222222139437992,0.020367002768942138,0.004444444552063942,0.04888888821005821,0.02666666666666667,0.02666666666666667
vnwoodknot,a1_crop,A1 crop,val,0.1,3,75,0.008888889104127884,0.0076980037755974475,0.0,0.02222222276031971,0.008888888888888889,0.007698003589195011
vnwoodknot,a1_crop,A1 crop,val,0.15,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,a1_crop,A1 crop,val,0.2,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,a1_crop,A1 crop,val,0.25,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.3,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.35,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.4,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.45,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.5,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.55,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.6,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.65,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.7,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.75,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.8,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.85,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.9,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,val,0.95,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,test,0.05,3,75,0.013333333656191826,0.013333333656191826,0.0,0.031111110001802444,0.017777777777777778,0.02036700308869262
vnwoodknot,a1_crop,A1 crop,test,0.1,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.008888888888888889,0.015396007178390023
vnwoodknot,a1_crop,A1 crop,test,0.15,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,a1_crop,A1 crop,test,0.2,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,a1_crop,A1 crop,test,0.25,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,a1_crop,A1 crop,test,0.3,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,a1_crop,A1 crop,test,0.35,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,a1_crop,A1 crop,test,0.4,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,a1_crop,A1 crop,test,0.45,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,test,0.5,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,test,0.55,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,test,0.6,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,test,0.65,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,test,0.7,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,test,0.75,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,test,0.8,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,test,0.85,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,test,0.9,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a1_crop,A1 crop,test,0.95,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,val,0.05,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,val,0.1,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,val,0.15,3,75,0.0,0.0,0.0,0.0,0.0,0.0
