dataset,variant,variant_label,seed,n_clean_images,mean_max_confidence,p90_max_confidence,p95_max_confidence
vnwoodknot,baseline,Baseline,42,75,0.0007046536387254795,0.0011352202855050581,0.004291432909667486
vnwoodknot,baseline,Baseline,43,75,0.0063372650121649105,0.0034963374957442304,0.00763930524699389
vnwoodknot,baseline,Baseline,44,75,0.003006526914735635,0.001240273145958799,0.009656690829433445
vnwoodknot,p1_clahe,P1 CLAHE,42,75,0.006791509011139472,0.00232756556943059,0.009874784294515843
vnwoodknot,p1_clahe,P1 CLAHE,43,75,0.0014603024659057458,0.0016830596374347812,0.008255158364772778
vnwoodknot,p1_clahe,P1 CLAHE,44,75,0.0035538616962730884,0.005975052993744623,0.013957748934626577
vnwoodknot,p2_illumination,P2 illumination,42,75,0.0021329553332179786,0.0025629268959164696,0.006202376773580908
vnwoodknot,p2_illumination,P2 illumination,43,75,0.0009909649550293882,0.0017301606945693548,0.0034215325722470867
vnwoodknot,p2_illumination,P2 illumination,44,75,0.0032368309469893576,0.0057358503341674895,0.015864886716008157
vnwoodknot,p3_unsharp,P3 unsharp,42,75,0.00270257281139493,0.0018614317523315553,0.005409312900155775
vnwoodknot,p3_unsharp,P3 unsharp,43,75,0.0012287224596366287,0.0016736094607040296,0.0058192774653434655
vnwoodknot,p3_unsharp,P3 unsharp,44,75,0.002600400837448736,0.004687430430203683,0.010646471148356755
vnwoodknot,a1_crop,A1 crop,42,75,0.0017040862732877334,0.0025058536790311344,0.0069546140264719536
vnwoodknot,a1_crop,A1 crop,43,75,0.0022245428804308176,0.0030160844326019517,0.011113560386002055
vnwoodknot,a1_crop,A1 crop,44,75,0.00928072089018921,0.008189528807997708,0.018739336729049674
vnwoodknot,a2_colorjitter,A2 colour jitter,42,75,0.003364532774624725,0.0014195981435477754,0.004098910535685705
vnwoodknot,a2_colorjitter,A2 colour jitter,43,75,0.0016997116664424538,0.0024149370845407306,0.004557219240814442
vnwoodknot,a2_colorjitter,A2 colour jitter,44,75,0.001844654471303026,0.0025591450277715946,0.0046928564552217705
vnwoodknot,p4_a4_combined,P4+A4 combined,42,75,0.004735409153314928,0.006249649543315197,0.022701699286699288
vnwoodknot,p4_a4_combined,P4+A4 combined,43,75,0.0014077338762581348,0.0026995466556400142,0.007139265257865179
vnwoodknot,p4_a4_combined,P4+A4 combined,44,75,0.00083466786891222,0.0024540445767343056,0.005419652070850127
vsb_rarefirst,baseline,Baseline,42,2988,0.03173009455085569,0.057738306745887036,0.2302904903888703
vsb_rarefirst,baseline,Baseline,43,2988,0.03885707313707909,0.0789196997880939,0.3396123588085178
vsb_rarefirst,baseline,Baseline,44,2988,0.03799998910585387,0.08056599348783511,0.30267797857522966
vsb_rarefirst,p1_clahe,P1 CLAHE,42,2988,0.038726634023858515,0.07929821982979782,0.34859719425439867
vsb_rarefirst,p1_clahe,P1 CLAHE,43,2988,0.03971743692917914,0.08291698098182723,0.36359027624130263
vsb_rarefirst,p1_clahe,P1 CLAHE,44,2988,0.034453026280503715,0.06485192924737938,0.29597618281841337
vsb_rarefirst,p2_illumination,P2 illumination,42,2988,0.040062928230687474,0.10688271522521997,0.35381959825754195
vsb_rarefirst,p2_illumination,P2 illumination,43,2988,0.03974796749587224,0.09993492886424073,0.33521775603294435
vsb_rarefirst,p2_illumination,P2 illumination,44,2988,0.035938448358943983,0.06859714686870585,0.3085327446460728
vsb_rarefirst,p3_unsharp,P3 unsharp,42,2988,0.03891807810798159,0.07524126917123804,0.3480571731925012
vsb_rarefirst,p3_unsharp,P3 unsharp,43,2988,0.03191821102993912,0.061318347603082794,0.25201618820428856
vsb_rarefirst,p3_unsharp,P3 unsharp,44,2988,0.03918536024605587,0.09525110349059161,0.32660161703825
vsb_rarefirst,a1_crop,A1 crop,42,2988,0.05313057970558574,0.20358743518590963,0.3838983312249184
vsb_rarefirst,a1_crop,A1 crop,43,2988,0.05535928365319233,0.2110287368297577,0.4774920985102658
vsb_rarefirst,a1_crop,A1 crop,44,2988,0.0598264537636584,0.2544658243656162,0.48512170016765593
vsb_rarefirst,a2_colorjitter,A2 colour jitter,42,2988,0.03640964483476644,0.07289637997746504,0.3214405089616776
vsb_rarefirst,a2_colorjitter,A2 colour jitter,43,2988,0.038153012750794676,0.06798176169395455,0.34357648640871064
vsb_rarefirst,a2_colorjitter,A2 colour jitter,44,2988,0.035994637248982456,0.10301401242613803,0.29202869385480884
vsb_rarefirst,p4_a4_combined,P4+A4 combined,42,2988,0.0727197706492177,0.32193556129932444,0.5327411651611329
vsb_rarefirst,p4_a4_combined,P4+A4 combined,43,2988,0.0647366719150235,0.26913867592811624,0.44924722313880927
vsb_rarefirst,p4_a4_combined,P4+A4 combined,44,2988,0.052212507199992236,0.19824168682098492,0.39970115870237355
