dataset,variant,best_epoch_mean,best_epoch_min,best_epoch_max,best_val_mAP50_mean,best_val_mAP50_std,final10_new_best_gain_mean,final10_new_best_gain_max,final10_slope_mean,positive_trend_seeds,plateau_seeds,all_seeds_plateau
vnwoodknot,a1_crop,41.333333333333336,36,50,0.8339066666666667,0.012026925348289707,-0.005846666666666667,0.011270000000000002,0.011611030303030278,3,2,False
vnwoodknot,a2_colorjitter,47.666666666666664,44,50,0.8304433333333333,0.0052520979935006505,0.01932999999999996,0.042809999999999904,0.0027204444444444203,3,2,False
vnwoodknot,baseline,45.666666666666664,43,49,0.8273866666666666,0.009319797923417335,0.02288666666666665,0.03464999999999996,0.0018902222222222124,2,0,False
vnwoodknot,p1_clahe,42.0,37,46,0.8311266666666667,0.020010862883277507,0.015186666666666682,0.04564999999999997,0.0013623838383838,2,1,False
vnwoodknot,p2_illumination,41.0,37,43,0.8393133333333334,0.0011983878059014484,0.019636666666666636,0.04140999999999995,0.0022069898989898634,3,1,False
vnwoodknot,p3_unsharp,48.0,47,49,0.83079,0.010047392696615396,0.019990000000000063,0.029770000000000074,0.003762868686868668,3,1,False
vnwoodknot,p4_a4_combined,38.333333333333336,28,49,0.8365,0.017166033321650072,-0.005456666666666628,0.00943000000000005,0.00486014141414139,2,3,True
vsb_rarefirst,a1_crop,41.333333333333336,32,50,0.8128733333333333,0.003564468169774176,0.0033933333333333224,0.005549999999999944,2.2101010100982073e-05,0,3,True
vsb_rarefirst,a2_colorjitter,41.0,37,49,0.82769,0.002934842414849588,-0.0011999999999999789,0.0017200000000000548,0.0004268484848484618,0,3,True
vsb_rarefirst,baseline,43.666666666666664,41,46,0.8284933333333333,0.002980559231643154,0.006639999999999942,0.008469999999999978,0.00021854545454542534,0,3,True
vsb_rarefirst,p1_clahe,45.333333333333336,44,47,0.82786,0.005339503722257367,0.007436666666666684,0.013850000000000029,0.00038026262626259427,1,2,False
vsb_rarefirst,p2_illumination,39.333333333333336,30,46,0.8214,0.002847964185168052,0.00010666666666666232,0.0028799999999999937,-1.1797979798015612e-05,0,3,True
vsb_rarefirst,p3_unsharp,45.666666666666664,45,46,0.82718,0.004223162322241458,0.0024366666666667167,0.004810000000000092,0.0008212525252525022,1,3,True
vsb_rarefirst,p4_a4_combined,41.666666666666664,30,50,0.8108233333333333,0.0005658916268450676,0.0024333333333333242,0.006199999999999983,0.0005015757575757247,1,3,True
