dataset,clean_evaluation_basis,variant,corrected_tau,deprecated_tau,delta_tau,delta_recall_mean,delta_recall_std,delta_retained_AP50_mean,delta_retained_AP50_std,delta_clean_mean_max_conf_mean,delta_clean_mean_max_conf_std,delta_clean_p95_max_conf_mean,delta_clean_p95_max_conf_std,delta_standard_test_mAP50_mean,delta_standard_test_mAP50_std
vnwoodknot,VN canonical 75 clean images,a1_crop,0.25,0.4,-0.15000000000000002,0.13333333333333333,0.02073903389460847,0.13219397401638378,0.02114205482727981,-0.005695727047924366,0.008066722472928979,-0.040917717991396735,0.03087934267334375,0.093983,0.022347898760286197
vnwoodknot,VN canonical 75 clean images,a2_colorjitter,0.05,0.05,0.0,-0.004301075268817216,0.007449680892769383,-0.004048422855085258,0.00701207407553072,-0.0002621113420981499,0.0004539901617540628,-0.0006178509754439171,0.0010701492809748552,-0.0020966666666666725,0.0036315331932027565
vnwoodknot,VN canonical 75 clean images,p4_a4_combined,0.7,0.4,0.29999999999999993,-0.49892473118279573,0.04197681999127561,-0.43779765558753264,0.032884772366770954,-0.0014105926164322434,0.00440420686358718,-0.009209858160465958,0.020508773619892794,0.02745233333333334,0.034902836680323436
vsb_rarefirst,"VSB source-disjoint strict-clean split: 996 sources / 2,988 tiles",a1_crop,0.8,0.8,0.0,-0.01705029838022166,0.06327590627114581,-0.01656582929046649,0.0654086934159967,0.003795959161423499,0.008051933021051946,0.0165083726247152,0.04968725074232751,9.066666666668333e-05,0.007498926078668425
vsb_rarefirst,"VSB source-disjoint strict-clean split: 996 sources / 2,988 tiles",a2_colorjitter,0.8,0.8,0.0,-0.03864734299516908,0.04014370761332266,-0.03950418530414334,0.04536103845575733,-0.0015052777074457356,0.0014431717982091089,-0.021351467569669175,0.018936688346167053,0.00048466666666665176,0.0022033486635875846
vsb_rarefirst,"VSB source-disjoint strict-clean split: 996 sources / 2,988 tiles",p4_a4_combined,0.8,0.85,-0.04999999999999993,0.07246376811594203,0.015788797252729872,0.09762709795445124,0.006469349103531941,0.0006903684991161457,0.004835935938540779,-0.02564877818028131,0.03484281685082227,0.002277666666666659,0.0069545537120172226
