dataset,variant,n_seeds,num_defective_detections_mean,num_defective_detections_std,num_defective_detections_median,num_defective_detections_min,num_defective_detections_max,d_ece_mean,d_ece_std,d_ece_median,d_ece_min,d_ece_max,signed_gap_mean,signed_gap_std,signed_gap_median,signed_gap_min,signed_gap_max,mean_confidence_mean,mean_confidence_std,mean_confidence_median,mean_confidence_min,mean_confidence_max,empirical_precision_mean,empirical_precision_std,empirical_precision_median,empirical_precision_min,empirical_precision_max,detection_count_outlier_seeds_ratio_1p5
vnwoodknot,a1_crop,3,1067.6666666666667,264.51717020513684,947.0,885.0,1371.0,0.03308609410828957,0.004600184274226494,0.0325311651712515,0.028788546471582098,0.037938570682035114,-0.013149195794493938,0.003673664721467324,-0.014161908748233427,-0.01621027843283692,-0.009075400202411465,0.12786527857119062,0.030111030902897355,0.13901675430211557,0.09376923874726031,0.15080984266419595,0.14101447436568454,0.033413203038468474,0.15522703273495247,0.10284463894967177,0.16497175141242937,
vnwoodknot,a2_colorjitter,3,1046.3333333333333,79.39983207370992,1002.0,999.0,1138.0,0.044581668655021764,0.002449024893202106,0.04323547811078412,0.04310103432677813,0.04740849352750305,-0.026839983403850978,0.006807272923247509,-0.026083192870102904,-0.03399402740111244,-0.020442729940337596,0.1208839835077512,0.006673709452706913,0.11969858736934665,0.11488240186985572,0.12807096128405124,0.1477239669116022,0.010740185685295292,0.1536926147704591,0.13532513181019332,0.15415415415415415,
vnwoodknot,baseline,3,999.3333333333334,73.24160930327332,981.0,937.0,1080.0,0.03844387120312275,0.004921796985823387,0.039491364178551536,0.033082650744472634,0.042757598686344093,-0.017756324113628014,0.005198625578987126,-0.016684873746096757,-0.0234071938205657,-0.013176904774221586,0.1365311258139839,0.015086772800672724,0.14380576596991704,0.1191853987720269,0.14660221270000784,0.15428744992761195,0.010607246598464678,0.15698267074413863,0.1425925925925926,0.1632870864461046,
vnwoodknot,p1_clahe,3,1043.3333333333333,121.69771293386468,1063.0,913.0,1154.0,0.040570387435946494,0.004166381679362342,0.04214945912104002,0.03584529118119309,0.043716412005606366,-0.01870515774572031,0.011381810829264635,-0.015089147935686265,-0.03145569309590717,-0.009570632205567486,0.12765524767021755,0.005641166935705584,0.1260209179156778,0.12301169015145158,0.13393313494352327,0.14636040541593787,0.01702178759502125,0.14111006585136407,0.13258232235701906,0.16538882803943045,
vnwoodknot,p2_illumination,3,1209.0,223.242021134015,1256.0,966.0,1405.0,0.03874121450357705,0.007540480593449008,0.0430268710731012,0.030034568091668858,0.043162204345961096,-0.020453263516334478,0.011627898418345732,-0.015198177524551656,-0.03378109038890847,-0.01238052263554331,0.11020131937153914,0.015271146541014625,0.10741328744360121,0.0965162745174816,0.1266743961535346,0.13065458288787363,0.02670380913449474,0.12261146496815287,0.10889679715302492,0.16045548654244307,
vnwoodknot,p3_unsharp,3,1076.0,29.715315916207253,1089.0,1042.0,1097.0,0.039340812744197214,0.0030535124972269974,0.03833881784771391,0.0369141928606676,0.04276942752421013,-0.02045655935052131,0.006739677301012666,-0.0176018473873006,-0.028153780946885205,-0.015614049717378124,0.12147645877511426,0.007321999264575342,0.12385723560623173,0.11326036046725621,0.12731178025185486,0.14193301812563558,0.002758024157108291,0.1414141414141414,0.13947128532360983,0.14491362763915547,
vnwoodknot,p4_a4_combined,3,1017.3333333333334,35.303446479534166,1012.0,985.0,1055.0,0.03487240354389619,0.00756116188904023,0.03713184754212912,0.02643909655339287,0.041046266536166574,-0.014751190524153022,0.0024686866060228585,-0.015843872795122574,-0.016484969484143106,-0.011924729293193388,0.13113232410766842,0.006295931076545775,0.12842490190843472,0.12664299260116496,0.1383290778134056,0.14588351463182145,0.003827526040905805,0.1442687747035573,0.14312796208530806,0.150253807106599,
vsb_rarefirst,a1_crop,3,11143.666666666666,5043.552352591706,8744.0,7748.0,16939.0,0.017613872970288737,0.001392787951261178,0.017652791981915515,0.016202033394207605,0.018986793534743092,-0.006118618806048363,0.004292302214307777,-0.008516062906412207,-0.008676631327029859,-0.0011631621847030225,0.10564494682520563,0.035599832113460246,0.11865685566632339,0.06536969099435123,0.13290829381494226,0.11176356563125399,0.039828249962032124,0.12717291857273558,0.06653285317905425,0.14158492514197213,42
vsb_rarefirst,a2_colorjitter,3,8551.0,2540.580445488786,7283.0,6894.0,11476.0,0.021571836302011402,0.006683508184015365,0.024964780368641165,0.01387242918939225,0.025878299348000795,-0.01785814325544012,0.006101984390193879,-0.021299796209163703,-0.021461833865391373,-0.010812799691765284,0.11899897908330706,0.028166332505408165,0.1312472311147413,0.08678218113779206,0.13896752499738785,0.1368571223387472,0.034229659719867495,0.152547027323905,0.09759498082955734,0.16042935886277923,44
vsb_rarefirst,baseline,3,7336.666666666667,73.10494739300024,7359.0,7255.0,7396.0,0.024354928412689502,0.0015728101399826522,0.024696977716628706,0.022639240871385052,0.025728566650054747,-0.021370151091585264,0.00035946484444158327,-0.02153246844661288,-0.021619831924381272,-0.020958152903761636,0.12934007986735854,0.0007944775481613891,0.12933400635700748,0.128548656485783,0.13013757675928517,0.1507102309589438,0.0009130004174722009,0.15029215926076914,0.1500811249323959,0.15175740868366644,
vsb_rarefirst,p1_clahe,3,7068.333333333333,366.64196886517686,6878.0,6836.0,7491.0,0.024065630106126,0.002265111349342756,0.023372782772363918,0.022227860248157327,0.026596247297856764,-0.020614142125159583,0.0013735571818087476,-0.02096573792374603,-0.021777726407139,-0.019098962044593718,0.1356508263699831,0.007888532635207772,0.1400127943652425,0.12654460782448518,0.14039507692022163,0.15626496849514268,0.007668182428299125,0.15949403896481534,0.14751034574823121,0.1617905207723815,
vsb_rarefirst,p2_illumination,3,7566.333333333333,443.06019154662647,7350.0,7273.0,8076.0,0.02326542874825492,0.00047107221537099085,0.023105612077654318,0.022895056053593783,0.023795618113516666,-0.019457309870033208,0.0013019766881496714,-0.018918426602784453,-0.02094221310926044,-0.01851128989805473,0.1270607773368766,0.0070773025810356984,0.1291258141016239,0.11918063679832962,0.1328758811106763,0.14651808720690981,0.007692258648249108,0.15006802721088436,0.13769192669638436,0.15179430771346075,
vsb_rarefirst,p3_unsharp,3,7339.0,403.2232632177861,7382.0,6916.0,7719.0,0.02380711332113259,0.0005159015564937668,0.023699286957045165,0.023353646446021458,0.02436840656033115,-0.02093802741924627,0.0005949698905035294,-0.020809429429243645,-0.021586780080786894,-0.02041787274770827,0.12969714104171098,0.008448454787024079,0.1288641646405334,0.12169602857318383,0.1385312299114157,0.15063516846095723,0.00811399192407521,0.14928203738824167,0.14328280865397072,0.15934065934065933,
vsb_rarefirst,p4_a4_combined,3,12271.333333333334,3326.6473112329377,12523.0,8826.0,15465.0,0.013738413163003515,0.002490036841133943,0.01273629859253503,0.011905566366887074,0.01657337452958844,-0.002865899893070597,0.001981459911862265,-0.0022705246991750333,-0.005076786294687559,-0.0012503886853491985,0.09272894709032813,0.025086995728477016,0.08684550181204433,0.07110654632919979,0.12023479312974027,0.09559484698339872,0.027065290081157937,0.08911602651121936,0.07235693501454898,0.12531157942442783,
