k,n,cp95_lower,cp95_upper,wilson95_lower,wilson95_upper,expected_cp_lower,expected_cp_upper,status
0,75,0.0,0.047995064055142256,3.469446951953614e-18,0.04872384248280587,0.0,0.048,PASS
1,75,0.0003375138025211487,0.0720634972431675,0.002357551139048661,0.07173365554421572,0.0003,0.0721,PASS
5,75,0.021999252469795564,0.1487604791577823,0.02881006289949372,0.14675060058560468,0.022,0.1488,PASS
0,1992,0.0,0.001850133504594449,1.0842021724855044e-19,0.0019247314478395357,0.0,0.00185,PASS
0,5976,0.0,0.0006170918922716317,0.0,0.0006424014494611222,0.0,0.00062,PASS
