dataset,variant,epsilon,selected_threshold,validation_fp_rate_mean,test_fp_rate_mean,test_fp_rate_std,test_fppi_mean,test_fppi_std,precision_mean,precision_std,recall_mean,recall_std,mAP50_mean,mAP50_std
vnwoodknot,a1_crop,0.0,0.25,0.0,0.0044444444444444444,0.0076980035891950115,0.0044444444444444444,0.0076980035891950115,0.6616161616161617,0.008747731351357958,0.8451612903225807,0.01117452133915401,0.7674015905604565,0.012185195292028658
vnwoodknot,a1_crop,0.01,0.1,0.008888888888888889,0.0044444444444444444,0.0076980035891950115,0.008888888888888889,0.015396007178390023,0.5445715370773918,0.020241569659813875,0.875268817204301,0.0037248404463846915,0.7892122292387005,0.0067245239710325404
vnwoodknot,a1_crop,0.02,0.1,0.008888888888888889,0.0044444444444444444,0.0076980035891950115,0.008888888888888889,0.015396007178390023,0.5445715370773918,0.020241569659813875,0.875268817204301,0.0037248404463846915,0.7892122292387005,0.0067245239710325404
vnwoodknot,a1_crop,0.05,0.05,0.022222222222222223,0.013333333333333334,0.013333333333333334,0.017777777777777778,0.02036700308869262,0.4734180765937343,0.037269237478487434,0.8881720430107527,0.007449680892769319,0.7957386276032142,0.009671818752355952
vnwoodknot,a2_colorjitter,0.0,0.05,0.0,0.013333333333333334,0.0,0.013333333333333334,0.0,0.4219069156038499,0.03953777483470384,0.9483870967741935,0.019354838709677413,0.8090479314094726,0.022431540558146137
vnwoodknot,a2_colorjitter,0.01,0.05,0.0,0.013333333333333334,0.0,0.013333333333333334,0.0,0.4219069156038499,0.03953777483470384,0.9483870967741935,0.019354838709677413,0.8090479314094726,0.022431540558146137
vnwoodknot,a2_colorjitter,0.02,0.05,0.0,0.013333333333333334,0.0,0.013333333333333334,0.0,0.4219069156038499,0.03953777483470384,0.9483870967741935,0.019354838709677413,0.8090479314094726,0.022431540558146137
vnwoodknot,a2_colorjitter,0.05,0.05,0.0,0.013333333333333334,0.0,0.013333333333333334,0.0,0.4219069156038499,0.03953777483470384,0.9483870967741935,0.019354838709677413,0.8090479314094726,0.022431540558146137
vnwoodknot,baseline,0.0,0.1,0.0,0.0044444444444444444,0.0076980035891950115,0.008888888888888889,0.015396007178390023,0.4918032786885246,0.014197137766958025,0.9397849462365592,0.013430103222362136,0.8032965357395266,0.030461644008759555
vnwoodknot,baseline,0.01,0.05,0.0044444444444444444,0.017777777777777778,0.015396007178390021,0.02666666666666667,0.02666666666666667,0.4194263453197442,0.010911373728549029,0.9548387096774194,0.006451612903225823,0.8098847958641725,0.026684639841301764
vnwoodknot,baseline,0.02,0.05,0.0044444444444444444,0.017777777777777778,0.015396007178390021,0.02666666666666667,0.02666666666666667,0.4194263453197442,0.010911373728549029,0.9548387096774194,0.006451612903225823,0.8098847958641725,0.026684639841301764
vnwoodknot,baseline,0.05,0.05,0.0044444444444444444,0.017777777777777778,0.015396007178390021,0.02666666666666667,0.02666666666666667,0.4194263453197442,0.010911373728549029,0.9548387096774194,0.006451612903225823,0.8098847958641725,0.026684639841301764
vnwoodknot,p1_clahe,0.0,0.1,0.0,0.008888888888888889,0.007698003589195011,0.008888888888888889,0.007698003589195011,0.4951816881566637,0.034264852167125985,0.9225806451612903,0.025806451612903236,0.7892499578724446,0.024185023343718966
vnwoodknot,p1_clahe,0.01,0.05,0.0044444444444444444,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.4231702742382651,0.03402253839441599,0.9419354838709677,0.03225806451612906,0.7962543566914121,0.025207956722211027
vnwoodknot,p1_clahe,0.02,0.05,0.0044444444444444444,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.4231702742382651,0.03402253839441599,0.9419354838709677,0.03225806451612906,0.7962543566914121,0.025207956722211027
vnwoodknot,p1_clahe,0.05,0.05,0.0044444444444444444,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.4231702742382651,0.03402253839441599,0.9419354838709677,0.03225806451612906,0.7962543566914121,0.025207956722211027
vnwoodknot,p2_illumination,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5564272632777311,0.06664443704060487,0.913978494623656,0.020739033894608495,0.8178315459714511,0.036259016969115536
vnwoodknot,p2_illumination,0.01,0.05,0.0044444444444444444,0.008888888888888889,0.007698003589195011,0.013333333333333334,0.013333333333333334,0.40884238354922836,0.06890070310796384,0.9483870967741935,0.011174521339154074,0.8332840723082018,0.03401866619371429
vnwoodknot,p2_illumination,0.02,0.05,0.0044444444444444444,0.008888888888888889,0.007698003589195011,0.013333333333333334,0.013333333333333334,0.40884238354922836,0.06890070310796384,0.9483870967741935,0.011174521339154074,0.8332840723082018,0.03401866619371429
vnwoodknot,p2_illumination,0.05,0.05,0.0044444444444444444,0.008888888888888889,0.007698003589195011,0.013333333333333334,0.013333333333333334,0.40884238354922836,0.06890070310796384,0.9483870967741935,0.011174521339154074,0.8332840723082018,0.03401866619371429
vnwoodknot,p3_unsharp,0.0,0.05,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.4222114977390942,0.029906787779148368,0.9397849462365591,0.007449680892769383,0.8195436416273404,0.03081659142399064
vnwoodknot,p3_unsharp,0.01,0.05,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.4222114977390942,0.029906787779148368,0.9397849462365591,0.007449680892769383,0.8195436416273404,0.03081659142399064
vnwoodknot,p3_unsharp,0.02,0.05,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.4222114977390942,0.029906787779148368,0.9397849462365591,0.007449680892769383,0.8195436416273404,0.03081659142399064
vnwoodknot,p3_unsharp,0.05,0.05,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.4222114977390942,0.029906787779148368,0.9397849462365591,0.007449680892769383,0.8195436416273404,0.03081659142399064
vnwoodknot,p4_a4_combined,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.965363832385109,0.008507472738574447,0.2946236559139785,0.051747137271036414,0.29487127371273714,0.05269706448826193
vnwoodknot,p4_a4_combined,0.01,0.05,0.008888888888888889,0.0044444444444444444,0.0076980035891950115,0.0044444444444444444,0.0076980035891950115,0.4731363847140622,0.009932371880606987,0.9204301075268817,0.009855001494528714,0.8407470844952626,0.025030813188038275
vnwoodknot,p4_a4_combined,0.02,0.05,0.008888888888888889,0.0044444444444444444,0.0076980035891950115,0.0044444444444444444,0.0076980035891950115,0.4731363847140622,0.009932371880606987,0.9204301075268817,0.009855001494528714,0.8407470844952626,0.025030813188038275
