dataset,variant,seed,split,threshold,n_clean_sources,fp_sources,fp_source_rate,false_detections,fppi_per_source,cp95_lower,cp95_upper,wilson95_lower,wilson95_upper
vsb_rarefirst,baseline,42,val,0.05,996,261,0.2620481927710843,522,0.5240963855421686,0.23497266035172967,0.2905379981707598,0.23568952429786044,0.2902353152671246
vsb_rarefirst,baseline,42,val,0.1,996,207,0.20783132530120482,331,0.33232931726907633,0.18302386072996937,0.23437868470371367,0.18377830543014442,0.23412940897243215
vsb_rarefirst,baseline,42,val,0.15,996,168,0.1686746987951807,245,0.2459839357429719,0.14592349088030296,0.193403120313781,0.1467018379955736,0.19319350823415235
vsb_rarefirst,baseline,42,val,0.2,996,142,0.142570281124498,186,0.18674698795180722,0.12143628188314583,0.1658413748508882,0.12222821922960844,0.16565888155155048
vsb_rarefirst,baseline,42,val,0.25,996,121,0.1214859437751004,150,0.15060240963855423,0.10183743591612986,0.14340219896835701,0.10263830614875305,0.1432421348470248
vsb_rarefirst,baseline,42,val,0.3,996,101,0.10140562248995984,119,0.11947791164658635,0.08335667286655904,0.12184866336590161,0.0841635521740796,0.12171054616895437
vsb_rarefirst,baseline,42,val,0.35,996,75,0.07530120481927711,89,0.0893574297188755,0.05968674496405403,0.0934786822272188,0.06049549073855033,0.09337036215591661
vsb_rarefirst,baseline,42,val,0.4,996,56,0.05622489959839357,66,0.06626506024096386,0.042747661221395825,0.07239484356363737,0.043550022822681146,0.07230980455167908
vsb_rarefirst,baseline,42,val,0.45,996,44,0.04417670682730924,48,0.04819277108433735,0.03227934460918791,0.058854027615058424,0.03307115020248173,0.05878487158023217
vsb_rarefirst,baseline,42,val,0.5,996,29,0.029116465863453816,31,0.03112449799196787,0.019584617478024022,0.041549854879604914,0.02034814029046699,0.041503124502689004
vsb_rarefirst,baseline,42,val,0.55,996,14,0.014056224899598393,15,0.015060240963855422,0.007705406260916386,0.023471594687610734,0.008391211521867748,0.023455296281730334
vsb_rarefirst,baseline,42,val,0.6,996,6,0.006024096385542169,6,0.006024096385542169,0.0022138503199720843,0.01306550051435107,0.0027637354164371207,0.013080235326063408
vsb_rarefirst,baseline,42,val,0.65,996,4,0.004016064257028112,4,0.004016064257028112,0.0010952933552988288,0.01025053878288337,0.0015628438042055047,0.010280492673020634
vsb_rarefirst,baseline,42,val,0.7,996,1,0.001004016064257028,1,0.001004016064257028,2.541916285560693e-05,0.005581198058454109,0.0001772554801821179,0.005665129599132441
vsb_rarefirst,baseline,42,val,0.75,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,42,val,0.8,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,42,val,0.85,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,42,val,0.9,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,42,val,0.95,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,42,test,0.05,996,265,0.2660642570281124,564,0.5662650602409639,0.238843577209582,0.29467518281295624,0.23955750581062882,0.2943686022849049
vsb_rarefirst,baseline,42,test,0.1,996,218,0.21887550200803213,372,0.37349397590361444,0.19355614501035312,0.245868198313979,0.19430328782310102,0.24560791503848467
vsb_rarefirst,baseline,42,test,0.15,996,183,0.18373493975903615,281,0.2821285140562249,0.16014517280650062,0.20921035517608103,0.16091474298155328,0.20898536023773062
vsb_rarefirst,baseline,42,test,0.2,996,150,0.15060240963855423,216,0.21686746987951808,0.12894680018141513,0.17434573337001336,0.1297348103497413,0.17415482749251524
vsb_rarefirst,baseline,42,test,0.25,996,128,0.1285140562248996,172,0.17269076305220885,0.10835035793272794,0.15090176207356318,0.10914850041476387,0.1507341605094743
vsb_rarefirst,baseline,42,test,0.3,996,107,0.10742971887550201,141,0.14156626506024098,0.0888794149001485,0.12833596350132778,0.08968481039902063,0.1281911907398365
vsb_rarefirst,baseline,42,test,0.35,996,89,0.0893574297188755,112,0.11244979919678715,0.0723744791725098,0.10881158992757874,0.07318328581440822,0.10868700693697941
vsb_rarefirst,baseline,42,test,0.4,996,79,0.07931726907630522,95,0.09538152610441768,0.06329643516910922,0.09787464283251732,0.06410550658151125,0.09776161484350447
vsb_rarefirst,baseline,42,test,0.45,996,64,0.0642570281124498,77,0.07730923694779117,0.049833842107297556,0.0813173762954778,0.050640044477014194,0.0812223199584436
vsb_rarefirst,baseline,42,test,0.5,996,55,0.055220883534136546,63,0.06325301204819277,0.04186735028601766,0.07127418891518442,0.042669080723340705,0.07119042951838234
vsb_rarefirst,baseline,42,test,0.55,996,41,0.04116465863453815,47,0.04718875502008032,0.029699610226910794,0.05543253975143234,0.030487492860666085,0.055367577524136236
vsb_rarefirst,baseline,42,test,0.6,996,25,0.025100401606425703,30,0.030120481927710843,0.016308026632879054,0.03683126234686561,0.01705859137640498,0.036791404886202236
vsb_rarefirst,baseline,42,test,0.65,996,17,0.01706827309236948,19,0.019076305220883535,0.009973529545318612,0.027187688447160598,0.010683529983797157,0.027163929217712504
vsb_rarefirst,baseline,42,test,0.7,996,10,0.010040160642570281,12,0.012048192771084338,0.0048248509099354745,0.01838647943307985,0.0054626403595897585,0.018382598913459548
vsb_rarefirst,baseline,42,test,0.75,996,6,0.006024096385542169,6,0.006024096385542169,0.0022138503199720843,0.01306550051435107,0.0027637354164371207,0.013080235326063408
vsb_rarefirst,baseline,42,test,0.8,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,42,test,0.85,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,42,test,0.9,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,42,test,0.95,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,43,val,0.05,996,292,0.2931726907630522,597,0.5993975903614458,0.2650461119366792,0.32252758063266274,0.26573979121285374,0.32219487946388425
vsb_rarefirst,baseline,43,val,0.1,996,231,0.2319277108433735,388,0.3895582329317269,0.2060378030006861,0.25941246665520057,0.20677606217632655,0.25913926340954263
vsb_rarefirst,baseline,43,val,0.15,996,201,0.20180722891566266,304,0.30522088353413657,0.17729081522288517,0.22809990125246332,0.1780491511409637,0.22785666046578967
vsb_rarefirst,baseline,43,val,0.2,996,176,0.17670682730923695,251,0.2520080321285141,0.15350047452771456,0.20184150749576316,0.15427421355601578,0.20162366973480778
vsb_rarefirst,baseline,43,val,0.25,996,149,0.1495983935742972,202,0.20281124497991967,0.12800675798466338,0.17328390597249743,0.1287952725902566,0.17309404811936266
vsb_rarefirst,baseline,43,val,0.3,996,130,0.13052208835341367,169,0.16967871485943775,0.11021501560499478,0.15304070888141616,0.11101232961353363,0.152870965575979
vsb_rarefirst,baseline,43,val,0.35,996,107,0.10742971887550201,131,0.13152610441767068,0.0888794149001485,0.12833596350132778,0.08968481039902063,0.1281911907398365
vsb_rarefirst,baseline,43,val,0.4,996,89,0.0893574297188755,100,0.10040160642570281,0.0723744791725098,0.10881158992757874,0.07318328581440822,0.10868700693697941
vsb_rarefirst,baseline,43,val,0.45,996,61,0.06124497991967871,69,0.06927710843373494,0.047167849906885335,0.07797991142873738,0.047972843937486756,0.07788856910005947
vsb_rarefirst,baseline,43,val,0.5,996,37,0.03714859437751004,42,0.04216867469879518,0.02628839673522746,0.050843049225435616,0.027069933577253267,0.05078386827700028
vsb_rarefirst,baseline,43,val,0.55,996,32,0.0321285140562249,34,0.03413654618473896,0.022077569719942874,0.045054919499821725,0.022848864002151265,0.04500335218891631
vsb_rarefirst,baseline,43,val,0.6,996,17,0.01706827309236948,18,0.018072289156626505,0.009973529545318612,0.027187688447160598,0.010683529983797157,0.027163929217712504
vsb_rarefirst,baseline,43,val,0.65,996,11,0.01104417670682731,11,0.01104417670682731,0.005525747337515467,0.01967498526794216,0.0061779291218100425,0.019667627283876457
vsb_rarefirst,baseline,43,val,0.7,996,4,0.004016064257028112,4,0.004016064257028112,0.0010952933552988288,0.01025053878288337,0.0015628438042055047,0.010280492673020634
vsb_rarefirst,baseline,43,val,0.75,996,3,0.0030120481927710845,3,0.0030120481927710845,0.0006215880038488222,0.008777030081934173,0.001024885486156592,0.008818133858432355
vsb_rarefirst,baseline,43,val,0.8,996,1,0.001004016064257028,1,0.001004016064257028,2.541916285560693e-05,0.005581198058454109,0.0001772554801821179,0.005665129599132441
vsb_rarefirst,baseline,43,val,0.85,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,43,val,0.9,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,43,val,0.95,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,43,test,0.05,996,293,0.29417670682730923,644,0.6465863453815262,0.26601896045277607,0.3235567740909273,0.26671187622595577,0.3232231115834195
vsb_rarefirst,baseline,43,test,0.1,996,243,0.24397590361445784,442,0.44377510040160645,0.21759059227388589,0.27188374776972507,0.21832043254299094,0.2715986986345246
vsb_rarefirst,baseline,43,test,0.15,996,214,0.21485943775100402,353,0.35441767068273095,0.18972304745098711,0.2416933535400066,0.19047286956440937,0.24143706476662755
vsb_rarefirst,baseline,43,test,0.2,996,193,0.19377510040160642,289,0.2901606425702811,0.1696603541223826,0.21971466440871384,0.17042376862479658,0.21947950592085924
vsb_rarefirst,baseline,43,test,0.25,996,169,0.16967871485943775,246,0.2469879518072289,0.14686959287489754,0.1944589328007241,0.1476473736465281,0.19424828971583505
vsb_rarefirst,baseline,43,test,0.3,996,150,0.15060240963855423,203,0.20381526104417672,0.12894680018141513,0.17434573337001336,0.1297348103497413,0.17415482749251524
vsb_rarefirst,baseline,43,test,0.35,996,127,0.12751004016064257,168,0.1686746987951807,0.10741865331894793,0.149831670423999,0.10821720214676574,0.1496651416448353
vsb_rarefirst,baseline,43,test,0.4,996,109,0.10943775100401607,137,0.13755020080321284,0.09072461920126272,0.13049415794918082,0.09152945419268245,0.13034718121144906
vsb_rarefirst,baseline,43,test,0.45,996,89,0.0893574297188755,114,0.1144578313253012,0.0723744791725098,0.10881158992757874,0.07318328581440822,0.10868700693697941
vsb_rarefirst,baseline,43,test,0.5,996,75,0.07530120481927711,86,0.08634538152610442,0.05968674496405403,0.0934786822272188,0.06049549073855033,0.09337036215591661
vsb_rarefirst,baseline,43,test,0.55,996,58,0.05823293172690763,66,0.06626506024096386,0.044512101054389686,0.07463242423221289,0.04531561599003664,0.07454484564959798
vsb_rarefirst,baseline,43,test,0.6,996,45,0.045180722891566265,48,0.04819277108433735,0.033142957448197244,0.05999093510248536,0.03393593438485959,0.05992040453049151
vsb_rarefirst,baseline,43,test,0.65,996,30,0.030120481927710843,31,0.03112449799196787,0.02041249952251572,0.04272117762453559,0.02117877333207291,0.042672808593720274
vsb_rarefirst,baseline,43,test,0.7,996,11,0.01104417670682731,12,0.012048192771084338,0.005525747337515467,0.01967498526794216,0.0061779291218100425,0.019667627283876457
vsb_rarefirst,baseline,43,test,0.75,996,5,0.0050200803212851405,5,0.0050200803212851405,0.001631955117803329,0.011676018736034771,0.002146127418164656,0.011697526191698678
vsb_rarefirst,baseline,43,test,0.8,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,43,test,0.85,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,43,test,0.9,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,43,test,0.95,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,44,val,0.05,996,315,0.31626506024096385,645,0.6475903614457831,0.28746258809239594,0.34615818383316466,0.2881384876048694,0.3458034771225241
vsb_rarefirst,baseline,44,val,0.1,996,249,0.25,432,0.43373493975903615,0.22337773679718773,0.2781086828296289,0.22410329574388835,0.27781773822945033
vsb_rarefirst,baseline,44,val,0.15,996,215,0.21586345381526104,333,0.33433734939759036,0.1906809861860404,0.2427373987462087,0.1914301409855144,0.24248011047815968
vsb_rarefirst,baseline,44,val,0.2,996,185,0.1857429718875502,260,0.26104417670682734,0.16204610784629825,0.21131330567866646,0.16281446506094338,0.21108627242361488
vsb_rarefirst,baseline,44,val,0.25,996,156,0.1566265060240964,206,0.20682730923694778,0.13459413800003386,0.1807096686117842,0.1353790458221867,0.18051249481589296
vsb_rarefirst,baseline,44,val,0.3,996,134,0.13453815261044177,166,0.16666666666666666,0.11394921158587981,0.15731376761895285,0.11474480804614398,0.1571397556739174
vsb_rarefirst,baseline,44,val,0.35,996,117,0.11746987951807229,140,0.14056224899598393,0.0981255423958539,0.1391070575101198,0.09892784123351042,0.13895133123171866
vsb_rarefirst,baseline,44,val,0.4,996,91,0.09136546184738956,111,0.11144578313253012,0.07419853955367434,0.11099065435407583,0.07500713429819383,0.11086379271846819
vsb_rarefirst,baseline,44,val,0.45,996,73,0.07329317269076305,86,0.08634538152610442,0.05788695684834727,0.09127573201657235,0.05869543164166093,0.09116978698753159
vsb_rarefirst,baseline,44,val,0.5,996,51,0.05120481927710843,60,0.060240963855421686,0.03835962526834269,0.06677838208870372,0.03915842864100433,0.06669981307016992
vsb_rarefirst,baseline,44,val,0.55,996,34,0.03413654618473896,39,0.0391566265060241,0.023754122620366917,0.04737765058084246,0.02452987221532278,0.04732297824101918
vsb_rarefirst,baseline,44,val,0.6,996,19,0.019076305220883535,20,0.020080321285140562,0.011523283018505796,0.029630285815475575,0.012246002012716087,0.029602091454067964
vsb_rarefirst,baseline,44,val,0.65,996,7,0.007028112449799197,8,0.008032128514056224,0.0028301976576665566,0.014426687135883924,0.003408518602031684,0.014435769273106039
vsb_rarefirst,baseline,44,val,0.7,996,3,0.0030120481927710845,3,0.0030120481927710845,0.0006215880038488222,0.008777030081934173,0.001024885486156592,0.008818133858432355
vsb_rarefirst,baseline,44,val,0.75,996,1,0.001004016064257028,1,0.001004016064257028,2.541916285560693e-05,0.005581198058454109,0.0001772554801821179,0.005665129599132441
vsb_rarefirst,baseline,44,val,0.8,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,44,val,0.85,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,44,val,0.9,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,44,val,0.95,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,44,test,0.05,996,299,0.3002008032128514,661,0.6636546184738956,0.2718595032449619,0.3297284930961586,0.27254781919943816,0.32938907140576024
vsb_rarefirst,baseline,44,test,0.1,996,247,0.24799196787148595,458,0.4598393574297189,0.22144791007095466,0.27603447992719327,0.2221749012132477,0.27574549849481655
vsb_rarefirst,baseline,44,test,0.15,996,217,0.2178714859437751,348,0.3493975903614458,0.19259753608907712,0.2448248200227535,0.19334535122197002,0.24456553450697846
vsb_rarefirst,baseline,44,test,0.2,996,187,0.18775100401606426,286,0.28714859437751006,0.1639481064764351,0.2134151990429622,0.1647152414328373,0.21318613031699538
vsb_rarefirst,baseline,44,test,0.25,996,162,0.16265060240963855,232,0.23293172690763053,0.140253210581733,0.18706195788469407,0.14103489410759415,0.18685854932630866
vsb_rarefirst,baseline,44,test,0.3,996,141,0.14156626506024098,192,0.1927710843373494,0.12049908168628787,0.16477672888776795,0.12129149178568771,0.16459529186283406
vsb_rarefirst,baseline,44,test,0.35,996,123,0.12349397590361445,159,0.15963855421686746,0.10369609577470852,0.1455470846031228,0.10449621511571539,0.14538486014533683
vsb_rarefirst,baseline,44,test,0.4,996,106,0.10642570281124498,130,0.13052208835341367,0.08795760040574277,0.12725608788060258,0.08876326425247669,0.12711241975374327
vsb_rarefirst,baseline,44,test,0.45,996,93,0.09337349397590361,108,0.10843373493975904,0.07602521922558066,0.11316713646084554,0.07683355541118148,0.11303800587075494
vsb_rarefirst,baseline,44,test,0.5,996,70,0.07028112449799197,79,0.07931726907630522,0.0551939586664211,0.08796474281313801,0.05600187824115194,0.08786238899012902
vsb_rarefirst,baseline,44,test,0.55,996,55,0.055220883534136546,64,0.0642570281124498,0.04186735028601766,0.07127418891518442,0.042669080723340705,0.07119042951838234
vsb_rarefirst,baseline,44,test,0.6,996,34,0.03413654618473896,38,0.03815261044176707,0.023754122620366917,0.04737765058084246,0.02452987221532278,0.04732297824101918
vsb_rarefirst,baseline,44,test,0.65,996,22,0.02208835341365462,25,0.025100401606425703,0.01389318993246768,0.033251913626057616,0.014631409703017052,0.03321763516167858
vsb_rarefirst,baseline,44,test,0.7,996,15,0.015060240963855422,16,0.01606425702811245,0.008452957170824341,0.02471808830723415,0.00914765177197312,0.024699173164262154
vsb_rarefirst,baseline,44,test,0.75,996,6,0.006024096385542169,7,0.007028112449799197,0.0022138503199720843,0.01306550051435107,0.0027637354164371207,0.013080235326063408
vsb_rarefirst,baseline,44,test,0.8,996,1,0.001004016064257028,1,0.001004016064257028,2.541916285560693e-05,0.005581198058454109,0.0001772554801821179,0.005665129599132441
vsb_rarefirst,baseline,44,test,0.85,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,44,test,0.9,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,baseline,44,test,0.95,996,0,0.0,0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643
vsb_rarefirst,p1_clahe,42,val,0.05,996,287,0.28815261044176704,598,0.6004016064257028,0.26018436457503097,0.31737912551501096,0.2608818475854153,0.3170512374281367
vsb_rarefirst,p1_clahe,42,val,0.1,996,236,0.23694779116465864,398,0.39959839357429716,0.21084791646592757,0.2646123674417117,0.21158269192449644,0.2643342193245587
