dataset,variant,seed,selected_threshold,validation_fp_source_rate,test_n_clean_sources,test_fp_sources,test_fp_source_rate,test_source_fppi,cp95_lower,cp95_upper,wilson95_lower,wilson95_upper,n_retained,n_targets,tp50,fp50,fn50,precision,recall,mAP50
vsb_rarefirst,baseline,42,0.85,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,110,1173,104,6,1069,0.9454545454545454,0.0886615515771526,0.08834612408183858
vsb_rarefirst,baseline,43,0.85,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,115,1173,109,6,1064,0.9478260869565217,0.09292412617220801,0.09604714716615087
vsb_rarefirst,baseline,44,0.85,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,112,1173,108,4,1065,0.9642857142857143,0.09207161125319693,0.09560345309690353
vsb_rarefirst,p1_clahe,42,0.8,0.0,996,1,0.001004016064257028,0.001004016064257028,2.541916285560693e-05,0.005581198058454109,0.0001772554801821179,0.005665129599132441,286,1173,265,21,908,0.9265734265734266,0.2259164535379369,0.2707109191901828
vsb_rarefirst,p1_clahe,43,0.8,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,272,1173,255,17,918,0.9375,0.21739130434782608,0.24490558447330943
vsb_rarefirst,p1_clahe,44,0.8,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,244,1173,228,16,945,0.9344262295081968,0.19437340153452684,0.22072039499065202
vsb_rarefirst,p2_illumination,42,0.75,0.0,996,1,0.001004016064257028,0.001004016064257028,2.541916285560693e-05,0.005581198058454109,0.0001772554801821179,0.005665129599132441,320,1173,304,16,869,0.95,0.2591645353793691,0.2888343957685
vsb_rarefirst,p2_illumination,43,0.75,0.0,996,5,0.0050200803212851405,0.006024096385542169,0.001631955117803329,0.011676018736034771,0.002146127418164656,0.011697526191698678,417,1173,392,25,781,0.9400479616306955,0.33418584825234443,0.3845446205046747
vsb_rarefirst,p2_illumination,44,0.75,0.0,996,5,0.0050200803212851405,0.006024096385542169,0.001631955117803329,0.011676018736034771,0.002146127418164656,0.011697526191698678,393,1173,368,25,805,0.9363867684478372,0.3137254901960784,0.34736174526865443
vsb_rarefirst,p3_unsharp,42,0.8,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,314,1173,298,16,875,0.9490445859872612,0.25404944586530265,0.2897368160846485
vsb_rarefirst,p3_unsharp,43,0.8,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,250,1173,236,14,937,0.944,0.20119352088661552,0.22789442485269804
vsb_rarefirst,p3_unsharp,44,0.8,0.0,996,2,0.002008032128514056,0.002008032128514056,0.00024327458431091926,0.007234702121267243,0.0005508476677955156,0.007291854544156236,267,1173,249,18,924,0.9325842696629213,0.21227621483375958,0.24685433437615312
vsb_rarefirst,a1_crop,42,0.8,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,145,1173,139,6,1034,0.9586206896551724,0.1184995737425405,0.14707162262115822
vsb_rarefirst,a1_crop,43,0.8,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,342,1173,318,24,855,0.9298245614035088,0.2710997442455243,0.31134351080996603
vsb_rarefirst,a1_crop,44,0.8,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,282,1173,265,17,908,0.9397163120567376,0.2259164535379369,0.24558859938541489
vsb_rarefirst,a2_colorjitter,42,0.8,0.0,996,1,0.001004016064257028,0.002008032128514056,2.541916285560693e-05,0.005581198058454109,0.0001772554801821179,0.005665129599132441,263,1173,248,15,925,0.9429657794676806,0.21142369991474852,0.23682395942737194
vsb_rarefirst,a2_colorjitter,43,0.8,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,274,1173,253,21,920,0.9233576642335767,0.21568627450980393,0.25023447653609493
vsb_rarefirst,a2_colorjitter,44,0.8,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,168,1173,163,5,1010,0.9702380952380952,0.13895993179880647,0.16204584574644157
vsb_rarefirst,p4_a4_combined,42,0.8,0.0,996,1,0.001004016064257028,0.001004016064257028,2.541916285560693e-05,0.005581198058454109,0.0001772554801821179,0.005665129599132441,295,1173,274,21,899,0.9288135593220339,0.23358908780903667,0.26181145715768206
vsb_rarefirst,p4_a4_combined,43,0.8,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,182,1173,174,8,999,0.9560439560439561,0.1483375959079284,0.1857558963055588
vsb_rarefirst,p4_a4_combined,44,0.8,0.0,996,0,0.0,0.0,0.0,0.0036968440152040753,2.168404344971009e-19,0.0038420679466773643,209,1173,198,11,975,0.9473684210526315,0.16879795396419436,0.20839900645802287
