variant,draws,rng_seed,sample_size,tau_mean,tau_median,tau_p025,tau_p975,tau_mode,test_fp_rate_mean,test_fp_rate_std,test_fp_rate_p025,test_fp_rate_median,test_fp_rate_p975
baseline,1000,20260817,75,0.7131500000000001,0.7,0.6,0.85,0.7,0.01325777777777778,0.01649750567872445,0.0,0.0044444444444444444,0.05333333333333334
p1_clahe,1000,20260817,75,0.72545,0.75,0.6,0.8,0.75,0.008835555555555555,0.012255276079786688,0.0,0.0044444444444444444,0.044444444444444446
p2_illumination,1000,20260817,75,0.70335,0.7,0.6,0.75,0.7,0.01144,0.013534627048397594,0.0,0.008888888888888889,0.04888888888888889
p3_unsharp,1000,20260817,75,0.7155,0.725,0.6,0.8,0.75,0.007924444444444446,0.011359397865665581,0.0,0.0044444444444444444,0.04
a1_crop,1000,20260817,75,0.7462000000000001,0.75,0.65,0.8,0.75,0.00728,0.010274552335014125,0.0,0.0044444444444444444,0.035555555555555556
a2_colorjitter,1000,20260817,75,0.7145499999999999,0.7,0.6,0.8,0.75,0.008511111111111112,0.011816576633491912,0.0,0.0044444444444444444,0.044444444444444446
p4_a4_combined,1000,20260817,75,0.7486499999999999,0.75,0.7,0.8,0.75,0.006546666666666667,0.008653622162687672,0.0,0.0044444444444444444,0.03111111111111111
