dataset,clean_evaluation_basis,variant,seed,corrected_tau,deprecated_tau,delta_tau_corrected_minus_deprecated,corrected_recall,deprecated_recall,delta_recall,corrected_retained_AP50,deprecated_retained_AP50,delta_retained_AP50,corrected_clean_mean_max_conf,deprecated_clean_mean_max_conf,delta_clean_mean_max_conf,corrected_clean_p95_max_conf,deprecated_clean_p95_max_conf,delta_clean_p95_max_conf
vnwoodknot,VN canonical 75 clean images,a1_crop,42,0.25,0.4,-0.15000000000000002,0.8387096774193549,0.7290322580645161,0.10967741935483877,0.7628298559063997,0.6446424430980292,0.11818741280837053,0.0017040862732877334,0.008840982836360733,-0.007136896563073,0.0069546140264719536,0.03757498078048225,-0.030620366754010295
vnwoodknot,VN canonical 75 clean images,a1_crop,43,0.25,0.4,-0.15000000000000002,0.8580645161290322,0.7161290322580646,0.14193548387096766,0.7812114943328694,0.659330378562244,0.12188111577062544,0.0022245428804308176,0.015169270120871563,-0.012944727240440745,0.011113560386002055,0.08674356713891017,-0.07563000675290811
vnwoodknot,VN canonical 75 clean images,a1_crop,44,0.25,0.4,-0.15000000000000002,0.8387096774193549,0.6903225806451613,0.1483870967741936,0.7581634214421005,0.6016500279719451,0.15651339347015536,0.00928072089018921,0.006286278230448564,0.0029944426597406457,0.018739336729049674,0.035242117196321476,-0.016502780467271803
vnwoodknot,VN canonical 75 clean images,a2_colorjitter,42,0.05,0.05,0.0,0.967741935483871,0.967741935483871,0.0,0.789144764990918,0.789144764990918,0.0,0.003364532774624725,0.003364532774624725,0.0,0.004098910535685705,0.004098910535685705,0.0
vnwoodknot,VN canonical 75 clean images,a2_colorjitter,43,0.05,0.05,0.0,0.9290322580645162,0.9290322580645162,0.0,0.804644306967927,0.804644306967927,0.0,0.0016997116664424538,0.0016997116664424538,0.0,0.004557219240814442,0.004557219240814442,0.0
vnwoodknot,VN canonical 75 clean images,a2_colorjitter,44,0.05,0.05,0.0,0.9483870967741935,0.9612903225806452,-0.012903225806451646,0.8333547222695729,0.8454999908348286,-0.012145268565255773,0.001844654471303026,0.0026309884975974757,-0.0007863340262944498,0.0046928564552217705,0.006546409381553522,-0.0018535529263317514
vnwoodknot,VN canonical 75 clean images,p4_a4_combined,42,0.7,0.4,0.29999999999999993,0.34838709677419355,0.8064516129032258,-0.4580645161290322,0.35,0.7539711238530424,-0.40397112385304246,0.004735409153314928,0.0016922479107355079,0.00304316124257942,0.022701699286699288,0.011458485107868902,0.011243214178830386
vnwoodknot,VN canonical 75 clean images,p4_a4_combined,43,0.7,0.4,0.29999999999999993,0.2903225806451613,0.832258064516129,-0.5419354838709678,0.2896138211382114,0.7592657119968126,-0.4696518908586012,0.0014077338762581348,0.0029191517954071365,-0.0015114179191490016,0.007139265257865179,0.01623817104846239,-0.00909890579059721
vnwoodknot,VN canonical 75 clean images,p4_a4_combined,44,0.7,0.4,0.29999999999999993,0.24516129032258063,0.7419354838709677,-0.49677419354838714,0.24500000000000005,0.6847699520509543,-0.4397699520509542,0.00083466786891222,0.006598189041639368,-0.005763521172727148,0.005419652070850127,0.03519353494048118,-0.02977388286963105
vsb_rarefirst,"VSB source-disjoint strict-clean split: 996 sources / 2,988 tiles",a1_crop,42,0.8,0.8,0.0,0.1184995737425405,0.20630861040068202,-0.08780903665814152,0.14707162262115822,0.22793934441334346,-0.08086772179218524,0.05313057970558574,0.047389041346869054,0.005741538358716686,0.3838983312249184,0.38616351932287224,-0.002265188097953841
