dataset,n_cells,micro_mae,micro_max_abs_error,micro_within_0p02,micro_correlation,macro_mae,macro_max_abs_error,macro_within_0p02,macro_correlation
vnwoodknot,21,0.29049990638384376,0.4295845561728316,3,0.7051822876282205,0.28546307551623895,0.42157155157340664,3,0.7025436930202175
vsb_rarefirst,21,0.0400981905963218,0.07039389504923338,3,0.9931229431093862,0.0070733681254113445,0.014662107132326907,21,0.9992610178447453
all,42,0.16529904849008276,0.4295845561728316,6,0.9371812641280801,0.14626822182082513,0.42157155157340664,24,0.9194812162476735
