dataset,epsilon,metric,rank,variant,value,rank_change_from_epsilon0,spearman_vs_epsilon0
vsb_rarefirst,0.01,retained_mAP50,3,p2_illumination,0.5996542847944007,-2,0.03571428571428572
vsb_rarefirst,0.01,retained_mAP50,4,p3_unsharp,0.5980941958017755,-2,0.03571428571428572
vsb_rarefirst,0.01,retained_mAP50,5,a2_colorjitter,0.5759310704282283,1,0.03571428571428572
vsb_rarefirst,0.01,retained_mAP50,6,a1_crop,0.5416227224283638,-2,0.03571428571428572
vsb_rarefirst,0.01,retained_mAP50,7,p4_a4_combined,0.5415273331957791,-2,0.03571428571428572
vsb_rarefirst,0.01,retained_recall,1,baseline,0.6197783461210571,,
vsb_rarefirst,0.01,retained_recall,2,p1_clahe,0.5862460926399545,,
vsb_rarefirst,0.01,retained_recall,3,p3_unsharp,0.5703324808184143,,
vsb_rarefirst,0.01,retained_recall,4,p2_illumination,0.5680591077010515,,
vsb_rarefirst,0.01,retained_recall,5,a2_colorjitter,0.5407786302926968,,
vsb_rarefirst,0.01,retained_recall,6,p4_a4_combined,0.49815288434214267,,
vsb_rarefirst,0.01,retained_recall,7,a1_crop,0.49673202614379086,,
vsb_rarefirst,0.02,retained_mAP50,1,a2_colorjitter,0.6810348862300639,5,-0.28571428571428575
vsb_rarefirst,0.02,retained_mAP50,2,baseline,0.6707571582492692,5,-0.28571428571428575
vsb_rarefirst,0.02,retained_mAP50,3,p2_illumination,0.6699131682127026,-2,-0.28571428571428575
vsb_rarefirst,0.02,retained_mAP50,4,p1_clahe,0.6661754710547542,-1,-0.28571428571428575
vsb_rarefirst,0.02,retained_mAP50,5,p3_unsharp,0.6624136606567134,-3,-0.28571428571428575
vsb_rarefirst,0.02,retained_mAP50,6,a1_crop,0.6059323298308316,-2,-0.28571428571428575
vsb_rarefirst,0.02,retained_mAP50,7,p4_a4_combined,0.5946033366295906,-2,-0.28571428571428575
vsb_rarefirst,0.02,retained_recall,1,a2_colorjitter,0.6871270247229326,,
vsb_rarefirst,0.02,retained_recall,2,p1_clahe,0.6729184427394146,,
vsb_rarefirst,0.02,retained_recall,3,baseline,0.6649616368286445,,
vsb_rarefirst,0.02,retained_recall,4,p3_unsharp,0.6635407786302927,,
vsb_rarefirst,0.02,retained_recall,5,p2_illumination,0.6632566069906224,,
vsb_rarefirst,0.02,retained_recall,6,a1_crop,0.5774367718101733,,
vsb_rarefirst,0.02,retained_recall,7,p4_a4_combined,0.5680591077010514,,
vsb_rarefirst,0.05,retained_mAP50,1,p2_illumination,0.7414536826637208,0,0.25
vsb_rarefirst,0.05,retained_mAP50,2,baseline,0.7371439636547145,5,0.25
vsb_rarefirst,0.05,retained_mAP50,3,p3_unsharp,0.7361427955485507,-1,0.25
vsb_rarefirst,0.05,retained_mAP50,4,a2_colorjitter,0.7322205283456867,2,0.25
vsb_rarefirst,0.05,retained_mAP50,5,p1_clahe,0.7277039543229589,-2,0.25
vsb_rarefirst,0.05,retained_mAP50,6,a1_crop,0.7185300983839126,-2,0.25
vsb_rarefirst,0.05,retained_mAP50,7,p4_a4_combined,0.6929060411224105,-2,0.25
vsb_rarefirst,0.05,retained_recall,1,p2_illumination,0.7755044046604149,,
vsb_rarefirst,0.05,retained_recall,2,p3_unsharp,0.7740835464620631,,
vsb_rarefirst,0.05,retained_recall,3,baseline,0.7706734867860188,,
vsb_rarefirst,0.05,retained_recall,4,a2_colorjitter,0.7695368002273373,,
vsb_rarefirst,0.05,retained_recall,5,p1_clahe,0.7644217107132708,,
vsb_rarefirst,0.05,retained_recall,6,a1_crop,0.7450980392156863,,
vsb_rarefirst,0.05,retained_recall,7,p4_a4_combined,0.7064506962205171,,
