dataset,variant,seed,threshold,class_id,class_name,rank,confidence,cumulative_tp,cumulative_fp,precision,recall,n_targets_class
vnwoodknot,baseline,42,0.1,0,live_knot,48,0.4480198919773102,37,11,0.7708333333333334,0.46835443037974683,79
vnwoodknot,baseline,42,0.1,0,live_knot,49,0.44120270013809204,38,11,0.7755102040816326,0.4810126582278481,79
vnwoodknot,baseline,42,0.1,0,live_knot,50,0.4401538670063019,38,12,0.76,0.4810126582278481,79
vnwoodknot,baseline,42,0.1,0,live_knot,51,0.43820497393608093,38,13,0.7450980392156863,0.4810126582278481,79
vnwoodknot,baseline,42,0.1,0,live_knot,52,0.43387746810913086,39,13,0.75,0.4936708860759494,79
vnwoodknot,baseline,42,0.1,0,live_knot,53,0.43309417366981506,39,14,0.7358490566037735,0.4936708860759494,79
vnwoodknot,baseline,42,0.1,0,live_knot,54,0.4301103949546814,40,14,0.7407407407407407,0.5063291139240507,79
vnwoodknot,baseline,42,0.1,0,live_knot,55,0.42948174476623535,41,14,0.7454545454545455,0.5189873417721519,79
vnwoodknot,baseline,42,0.1,0,live_knot,56,0.4290110170841217,41,15,0.7321428571428571,0.5189873417721519,79
vnwoodknot,baseline,42,0.1,0,live_knot,57,0.42709964513778687,42,15,0.7368421052631579,0.5316455696202531,79
vnwoodknot,baseline,42,0.1,0,live_knot,58,0.4253075420856476,42,16,0.7241379310344828,0.5316455696202531,79
vnwoodknot,baseline,42,0.1,0,live_knot,59,0.42463845014572144,43,16,0.7288135593220338,0.5443037974683544,79
vnwoodknot,baseline,42,0.1,0,live_knot,60,0.42459964752197266,44,16,0.7333333333333333,0.5569620253164557,79
vnwoodknot,baseline,42,0.1,0,live_knot,61,0.4211041331291199,44,17,0.7213114754098361,0.5569620253164557,79
vnwoodknot,baseline,42,0.1,0,live_knot,62,0.4201856553554535,45,17,0.7258064516129032,0.569620253164557,79
vnwoodknot,baseline,42,0.1,0,live_knot,63,0.417556494474411,46,17,0.7301587301587301,0.5822784810126582,79
vnwoodknot,baseline,42,0.1,0,live_knot,64,0.41490206122398376,46,18,0.71875,0.5822784810126582,79
vnwoodknot,baseline,42,0.1,0,live_knot,65,0.41060855984687805,46,19,0.7076923076923077,0.5822784810126582,79
vnwoodknot,baseline,42,0.1,0,live_knot,66,0.4053482711315155,47,19,0.7121212121212122,0.5949367088607594,79
vnwoodknot,baseline,42,0.1,0,live_knot,67,0.4048127830028534,48,19,0.7164179104477612,0.6075949367088608,79
vnwoodknot,baseline,42,0.1,0,live_knot,68,0.401584655046463,49,19,0.7205882352941176,0.620253164556962,79
vnwoodknot,baseline,42,0.1,0,live_knot,69,0.3986135721206665,49,20,0.7101449275362319,0.620253164556962,79
vnwoodknot,baseline,42,0.1,0,live_knot,70,0.398203045129776,50,20,0.7142857142857143,0.6329113924050633,79
vnwoodknot,baseline,42,0.1,0,live_knot,71,0.3945416808128357,50,21,0.704225352112676,0.6329113924050633,79
vnwoodknot,baseline,42,0.1,0,live_knot,72,0.3904658854007721,51,21,0.7083333333333334,0.6455696202531646,79
vnwoodknot,baseline,42,0.1,0,live_knot,73,0.387652188539505,52,21,0.7123287671232876,0.6582278481012658,79
vnwoodknot,baseline,42,0.1,0,live_knot,74,0.38733789324760437,53,21,0.7162162162162162,0.6708860759493671,79
vnwoodknot,baseline,42,0.1,0,live_knot,75,0.38516107201576233,54,21,0.72,0.6835443037974683,79
vnwoodknot,baseline,42,0.1,0,live_knot,76,0.38270509243011475,54,22,0.7105263157894737,0.6835443037974683,79
vnwoodknot,baseline,42,0.1,0,live_knot,77,0.3814273476600647,55,22,0.7142857142857143,0.6962025316455697,79
vnwoodknot,baseline,42,0.1,0,live_knot,78,0.36942705512046814,55,23,0.7051282051282052,0.6962025316455697,79
vnwoodknot,baseline,42,0.1,0,live_knot,79,0.36773037910461426,56,23,0.7088607594936709,0.7088607594936709,79
vnwoodknot,baseline,42,0.1,0,live_knot,80,0.3625001311302185,56,24,0.7,0.7088607594936709,79
vnwoodknot,baseline,42,0.1,0,live_knot,81,0.36149460077285767,57,24,0.7037037037037037,0.7215189873417721,79
vnwoodknot,baseline,42,0.1,0,live_knot,82,0.36017492413520813,57,25,0.6951219512195121,0.7215189873417721,79
vnwoodknot,baseline,42,0.1,0,live_knot,83,0.3566674292087555,57,26,0.6867469879518072,0.7215189873417721,79
vnwoodknot,baseline,42,0.1,0,live_knot,84,0.34969767928123474,58,26,0.6904761904761905,0.7341772151898734,79
vnwoodknot,baseline,42,0.1,0,live_knot,85,0.34851890802383423,58,27,0.6823529411764706,0.7341772151898734,79
vnwoodknot,baseline,42,0.1,0,live_knot,86,0.34741276502609253,58,28,0.6744186046511628,0.7341772151898734,79
vnwoodknot,baseline,42,0.1,0,live_knot,87,0.3392365276813507,58,29,0.6666666666666666,0.7341772151898734,79
vnwoodknot,baseline,42,0.1,0,live_knot,88,0.3363761901855469,59,29,0.6704545454545454,0.7468354430379747,79
