variant,variant_label,threshold,n_seeds,seeds,ap50_mean,ap50_std,precision_mean,precision_std,recall_mean,recall_std,fp_image_rate_mean,fp_image_rate_std,mean_preds_per_knotfree_mean,mean_preds_per_knotfree_std,mean_conf_fp_mean,mean_conf_fp_std,fp_image_rate_ci_lower,fp_image_rate_ci_upper,num_knotfree_images_mean,knotfree_fp_images_mean
p1_clahe,P1 CLAHE,0.50,3,42 43 44,0.655296,0.010094,0.822597,0.008852,0.664962,0.012295,0.019355,0.003832,0.021252,0.004123,0.595141,0.003300,0.012885,0.025268,5976.000000,115.666667
p1_clahe,P1 CLAHE,0.55,3,42 43 44,0.628026,0.015234,0.845735,0.001851,0.623188,0.022892,0.014000,0.002594,0.015172,0.002995,0.623500,0.005168,0.009203,0.018411,5976.000000,83.666667
p1_clahe,P1 CLAHE,0.60,3,42 43 44,0.583628,0.008490,0.862224,0.009847,0.564365,0.014791,0.008143,0.002010,0.008367,0.002264,0.663423,0.001056,0.004685,0.012048,5976.000000,48.666667
p1_clahe,P1 CLAHE,0.65,3,42 43 44,0.531787,0.016331,0.882505,0.007340,0.496448,0.018781,0.004406,0.000859,0.004406,0.000859,0.699127,0.005575,0.002510,0.006693,5976.000000,26.333333
p1_clahe,P1 CLAHE,0.70,3,42 43 44,0.447336,0.009549,0.903203,0.000893,0.410912,0.012558,0.001897,0.000587,0.001897,0.000587,0.734652,0.007477,0.000669,0.003514,5976.000000,11.333333
p1_clahe,P1 CLAHE,0.75,3,42 43 44,0.354600,0.008992,0.922749,0.008890,0.316567,0.014701,0.000614,0.000387,0.000614,0.000387,0.775106,0.010284,0.000000,0.001506,5976.000000,3.666667
p1_clahe,P1 CLAHE,0.80,3,42 43 44,0.221620,0.006358,0.932332,0.004221,0.195510,0.005414,0.000056,0.000096,0.000056,0.000096,0.801854,0.000000,0.000000,0.000502,5976.000000,0.333333
p1_clahe,P1 CLAHE,0.85,3,42 43 44,0.089884,0.008658,0.963056,0.021660,0.082125,0.003445,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p1_clahe,P1 CLAHE,0.90,3,42 43 44,0.012360,0.005762,1.000000,0.000000,0.010514,0.004995,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p1_clahe,P1 CLAHE,0.95,3,42 43 44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p2_illumination,P2 illumination,0.05,3,42 43 44,0.773652,0.007103,0.451195,0.016705,0.853367,0.006436,0.134315,0.009187,0.289882,0.029260,0.187396,0.005074,0.119478,0.150602,5976.000000,802.666667
p2_illumination,P2 illumination,0.10,3,42 43 44,0.765663,0.006164,0.539846,0.018131,0.834612,0.003073,0.101183,0.006373,0.173360,0.014873,0.266035,0.004700,0.089859,0.113956,5976.000000,604.666667
p2_illumination,P2 illumination,0.15,3,42 43 44,0.757816,0.008644,0.597516,0.014713,0.819267,0.001705,0.083166,0.006946,0.122602,0.011733,0.325814,0.008860,0.071285,0.095549,5976.000000,497.000000
p2_illumination,P2 illumination,0.20,3,42 43 44,0.748434,0.007484,0.640783,0.014767,0.802217,0.001476,0.068050,0.004784,0.091589,0.007070,0.377334,0.009913,0.059237,0.078146,5976.000000,406.666667
p2_illumination,P2 illumination,0.25,3,42 43 44,0.740217,0.007592,0.677315,0.013181,0.787440,0.005676,0.056839,0.004608,0.070894,0.006495,0.422400,0.013190,0.048193,0.065930,5976.000000,339.666667
p2_illumination,P2 illumination,0.30,3,42 43 44,0.729060,0.002183,0.710142,0.005042,0.767832,0.006048,0.047022,0.002029,0.056615,0.002684,0.459128,0.009337,0.040997,0.053380,5976.000000,281.000000
p2_illumination,P2 illumination,0.35,3,42 43 44,0.716120,0.003172,0.741200,0.004435,0.746235,0.004291,0.038599,0.001089,0.044288,0.001267,0.496966,0.008827,0.033467,0.043842,5976.000000,230.666667
p2_illumination,P2 illumination,0.40,3,42 43 44,0.701102,0.008071,0.774948,0.002580,0.724069,0.001775,0.031403,0.000791,0.035364,0.000843,0.528006,0.011376,0.026941,0.036145,5976.000000,187.666667
p2_illumination,P2 illumination,0.45,3,42 43 44,0.674614,0.013149,0.803155,0.004556,0.689684,0.006767,0.024097,0.000290,0.026941,0.000603,0.560394,0.013209,0.020248,0.028112,5976.000000,144.000000
p2_illumination,P2 illumination,0.50,3,42 43 44,0.645910,0.018524,0.827992,0.010475,0.648764,0.012026,0.017738,0.001171,0.019578,0.001339,0.591856,0.011083,0.013889,0.021586,5976.000000,106.000000
p2_illumination,P2 illumination,0.55,3,42 43 44,0.609267,0.022075,0.854056,0.006230,0.596192,0.020288,0.012271,0.001805,0.013108,0.001500,0.624847,0.013083,0.008367,0.016064,5976.000000,73.333333
p2_illumination,P2 illumination,0.60,3,42 43 44,0.563848,0.034614,0.877740,0.009678,0.537653,0.034790,0.007864,0.001534,0.008255,0.001423,0.655546,0.015286,0.004853,0.011044,5976.000000,47.000000
p2_illumination,P2 illumination,0.65,3,42 43 44,0.512441,0.038267,0.904229,0.007891,0.476556,0.038344,0.004072,0.001836,0.004239,0.002045,0.689492,0.001864,0.001171,0.007028,5976.000000,24.333333
p2_illumination,P2 illumination,0.70,3,42 43 44,0.430436,0.043739,0.911161,0.009308,0.390168,0.039844,0.001450,0.000755,0.001450,0.000755,0.729445,0.002601,0.000167,0.003012,5976.000000,8.666667
p2_illumination,P2 illumination,0.75,3,42 43 44,0.330527,0.045595,0.933946,0.003895,0.295823,0.036559,0.000279,0.000256,0.000279,0.000256,0.765327,0.008397,0.000000,0.001004,5976.000000,1.666667
p2_illumination,P2 illumination,0.80,3,42 43 44,0.205515,0.038045,0.944567,0.012430,0.180449,0.028382,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p2_illumination,P2 illumination,0.85,3,42 43 44,0.080804,0.011184,0.948259,0.011899,0.075874,0.013235,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p2_illumination,P2 illumination,0.90,3,42 43 44,0.014348,0.006878,0.987179,0.022206,0.016198,0.006767,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p2_illumination,P2 illumination,0.95,3,42 43 44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p3_unsharp,P3 unsharp,0.05,3,42 43 44,0.769363,0.011074,0.451336,0.006901,0.848821,0.006399,0.132084,0.004568,0.277220,0.012718,0.186410,0.010959,0.120482,0.142738,5976.000000,789.333333
p3_unsharp,P3 unsharp,0.10,3,42 43 44,0.761947,0.011923,0.543574,0.014966,0.832339,0.011352,0.099621,0.007745,0.163599,0.015691,0.267018,0.008653,0.085174,0.111111,5976.000000,595.333333
p3_unsharp,P3 unsharp,0.15,3,42 43 44,0.754584,0.010431,0.608105,0.010995,0.815573,0.008873,0.080154,0.008511,0.114514,0.014095,0.329181,0.006576,0.065763,0.091867,5976.000000,479.000000
p3_unsharp,P3 unsharp,0.20,3,42 43 44,0.746033,0.011020,0.651877,0.018203,0.798522,0.009695,0.066823,0.007264,0.087294,0.011070,0.377986,0.008035,0.054384,0.077979,5976.000000,399.333333
p3_unsharp,P3 unsharp,0.25,3,42 43 44,0.738169,0.007694,0.685572,0.017026,0.783177,0.007921,0.055165,0.006837,0.066655,0.009353,0.426082,0.007790,0.043507,0.064926,5976.000000,329.666667
p3_unsharp,P3 unsharp,0.30,3,42 43 44,0.728464,0.008944,0.722122,0.018456,0.764990,0.009036,0.045794,0.006643,0.053436,0.008185,0.463932,0.007720,0.034639,0.054719,5976.000000,273.666667
p3_unsharp,P3 unsharp,0.35,3,42 43 44,0.714812,0.010073,0.752195,0.010940,0.745951,0.010682,0.036926,0.005356,0.042001,0.005942,0.501697,0.011953,0.027610,0.044679,5976.000000,220.666667
p3_unsharp,P3 unsharp,0.40,3,42 43 44,0.698657,0.013668,0.779619,0.008638,0.722932,0.015926,0.030288,0.005268,0.033412,0.005379,0.534515,0.010437,0.021419,0.038153,5976.000000,181.000000
p3_unsharp,P3 unsharp,0.45,3,42 43 44,0.677978,0.011590,0.803975,0.006426,0.691106,0.012364,0.024431,0.005547,0.026495,0.005573,0.564119,0.004727,0.015730,0.032129,5976.000000,146.000000
p3_unsharp,P3 unsharp,0.50,3,42 43 44,0.652410,0.013648,0.833679,0.007258,0.655016,0.017478,0.018686,0.004378,0.020025,0.004478,0.592698,0.002944,0.011881,0.025435,5976.000000,111.666667
p3_unsharp,P3 unsharp,0.55,3,42 43 44,0.623005,0.014648,0.849339,0.005182,0.611537,0.020572,0.012829,0.003272,0.013666,0.003480,0.625525,0.003687,0.007363,0.017905,5976.000000,76.666667
p3_unsharp,P3 unsharp,0.60,3,42 43 44,0.583369,0.020210,0.868188,0.009316,0.554703,0.026882,0.007753,0.002260,0.007865,0.002264,0.664274,0.006568,0.004183,0.012048,5976.000000,46.333333
p3_unsharp,P3 unsharp,0.65,3,42 43 44,0.520813,0.033904,0.896446,0.010649,0.477692,0.031281,0.004351,0.000604,0.004351,0.000604,0.696442,0.001342,0.002510,0.006359,5976.000000,26.000000
p3_unsharp,P3 unsharp,0.70,3,42 43 44,0.451648,0.033423,0.918461,0.002908,0.402672,0.031558,0.001562,0.000421,0.001562,0.000421,0.734178,0.004912,0.000502,0.002845,5976.000000,9.333333
p3_unsharp,P3 unsharp,0.75,3,42 43 44,0.355466,0.033342,0.922353,0.001255,0.310884,0.035122,0.000446,0.000256,0.000446,0.000256,0.768790,0.006884,0.000000,0.001171,5976.000000,2.666667
p3_unsharp,P3 unsharp,0.80,3,42 43 44,0.235072,0.025029,0.933430,0.004407,0.204035,0.027761,0.000056,0.000096,0.000056,0.000096,0.819529,0.000000,0.000000,0.000502,5976.000000,0.333333
p3_unsharp,P3 unsharp,0.85,3,42 43 44,0.102989,0.016967,0.957247,0.009059,0.093492,0.017561,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p3_unsharp,P3 unsharp,0.90,3,42 43 44,0.023157,0.007509,0.979724,0.017656,0.021029,0.010962,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p3_unsharp,P3 unsharp,0.95,3,42 43 44,0.000372,0.000644,0.333333,0.577350,0.000284,0.000492,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
