variant,variant_label,threshold,n_seeds,seeds,ap50_mean,ap50_std,precision_mean,precision_std,recall_mean,recall_std,fp_image_rate_mean,fp_image_rate_std,mean_preds_per_knotfree_mean,mean_preds_per_knotfree_std,mean_conf_fp_mean,mean_conf_fp_std,fp_image_rate_ci_lower,fp_image_rate_ci_upper,num_knotfree_images_mean,knotfree_fp_images_mean
p4_a4_combined,P4+A4 combined,0.40,3,42 43 44,0.704231,0.005260,0.723778,0.014025,0.742256,0.007688,0.062137,0.008256,0.074744,0.012823,0.536558,0.007003,0.049029,0.074632,5976.000000,371.333333
p4_a4_combined,P4+A4 combined,0.45,3,42 43 44,0.688146,0.004377,0.752375,0.019428,0.714123,0.006455,0.049866,0.007125,0.058010,0.010544,0.569407,0.008221,0.039157,0.061580,5976.000000,298.000000
p4_a4_combined,P4+A4 combined,0.50,3,42 43 44,0.667806,0.004236,0.782805,0.019106,0.679454,0.005968,0.039547,0.007283,0.044344,0.009315,0.599517,0.006044,0.028782,0.050535,5976.000000,236.333333
p4_a4_combined,P4+A4 combined,0.55,3,42 43 44,0.644785,0.005531,0.811518,0.022914,0.641091,0.007432,0.028001,0.007249,0.030790,0.008658,0.633695,0.003010,0.017403,0.037818,5976.000000,167.333333
p4_a4_combined,P4+A4 combined,0.60,3,42 43 44,0.609896,0.011047,0.841676,0.014908,0.593066,0.018370,0.018630,0.005065,0.020248,0.005871,0.664857,0.005905,0.011044,0.026104,5976.000000,111.333333
p4_a4_combined,P4+A4 combined,0.65,3,42 43 44,0.554680,0.019089,0.866609,0.010838,0.522592,0.022604,0.010319,0.002439,0.010598,0.002684,0.701997,0.002267,0.006359,0.015060,5976.000000,61.666667
p4_a4_combined,P4+A4 combined,0.70,3,42 43 44,0.474414,0.032107,0.889598,0.011097,0.437056,0.030265,0.004462,0.001363,0.004462,0.001363,0.742828,0.004014,0.002343,0.007530,5976.000000,26.666667
p4_a4_combined,P4+A4 combined,0.75,3,42 43 44,0.385789,0.036742,0.916459,0.007765,0.352373,0.036967,0.001617,0.000421,0.001617,0.000421,0.778353,0.012287,0.000502,0.003012,5976.000000,9.666667
p4_a4_combined,P4+A4 combined,0.80,3,42 43 44,0.255322,0.037518,0.934999,0.003747,0.232452,0.028839,0.000223,0.000256,0.000223,0.000256,0.835193,0.020610,0.000000,0.001004,5976.000000,1.333333
p4_a4_combined,P4+A4 combined,0.85,3,42 43 44,0.099605,0.030857,0.920483,0.014410,0.097187,0.022555,0.000056,0.000096,0.000056,0.000096,0.885814,0.000000,0.000000,0.000502,5976.000000,0.333333
p4_a4_combined,P4+A4 combined,0.90,3,42 43 44,0.016796,0.002889,0.965674,0.032456,0.021029,0.003844,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
p4_a4_combined,P4+A4 combined,0.95,3,42 43 44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,5976.000000,0.000000
