variant,variant_label,n_seeds,seeds,num_defective_detections_mean,num_defective_detections_std,d_ece_mean,d_ece_std,signed_gap_mean,signed_gap_std,mean_confidence_mean,mean_confidence_std,empirical_precision_mean,empirical_precision_std,clean_num_knotfree_images_mean,clean_num_knotfree_images_std,clean_images_with_predictions_mean,clean_images_with_predictions_std,clean_mean_max_confidence_mean,clean_mean_max_confidence_std,clean_p90_max_confidence_mean,clean_p90_max_confidence_std,clean_p95_max_confidence_mean,clean_p95_max_confidence_std,clean_max_of_max_confidence_mean,clean_max_of_max_confidence_std
baseline,Baseline,3,42 43 44,9343.666667,70.002381,0.015350,0.000726,-0.010393,0.000148,0.103841,0.000447,0.114234,0.000589,5976.000000,0.000000,2903.333333,55.428633,0.036412,0.004106,0.101267,0.021705,0.269740,0.031068,0.786565,0.015428
p1_clahe,P1 CLAHE,3,42 43 44,8839.000000,268.162264,0.016464,0.001521,-0.009749,0.000485,0.109836,0.003698,0.119585,0.003792,5976.000000,0.000000,3325.333333,248.918327,0.038418,0.001927,0.099825,0.009489,0.292694,0.012614,0.789418,0.011006
p2_illumination,P2 illumination,3,42 43 44,9316.000000,631.514845,0.016159,0.001505,-0.009669,0.000960,0.104400,0.006848,0.114069,0.006363,5976.000000,0.000000,3029.666667,235.374878,0.037498,0.001988,0.102123,0.016136,0.281004,0.017565,0.765058,0.015487
p3_unsharp,P3 unsharp,3,42 43 44,9410.666667,260.417613,0.015806,0.001618,-0.009805,0.001142,0.103030,0.003968,0.112835,0.003002,5976.000000,0.000000,2994.666667,226.584054,0.037026,0.003853,0.101710,0.016031,0.275937,0.035187,0.793280,0.029293
a1_crop,A1 crop,3,42 43 44,11025.000000,727.956729,0.014315,0.000660,-0.002935,0.002534,0.094362,0.004699,0.097297,0.006966,5976.000000,0.000000,3882.000000,338.433154,0.052205,0.007358,0.190441,0.038454,0.383490,0.056376,0.793429,0.003617
a2_colorjitter,A2 colour jitter,3,42 43 44,9294.000000,351.663191,0.013404,0.001838,-0.008351,0.000319,0.106243,0.004668,0.114594,0.004423,5976.000000,0.000000,3035.666667,61.614392,0.038172,0.001324,0.100309,0.007322,0.291060,0.007061,0.809905,0.032665
p4_a4_combined,P4+A4 combined,3,42 43 44,13092.666667,2094.506227,0.013174,0.001097,0.001822,0.002540,0.084005,0.011353,0.082182,0.012955,5976.000000,0.000000,4956.666667,341.236477,0.065697,0.007204,0.255835,0.034707,0.449542,0.034844,0.832807,0.048086
