variant,variant_label,n_seeds,seeds,num_knotfree_images_mean,num_knotfree_images_std,images_with_predictions_mean,images_with_predictions_std,mean_max_confidence_mean,mean_max_confidence_std,p90_max_confidence_mean,p90_max_confidence_std,p95_max_confidence_mean,p95_max_confidence_std,max_of_max_confidence_mean,max_of_max_confidence_std
baseline,Baseline,3,42 43 44,5976.000000,0.000000,2903.333333,55.428633,0.036412,0.004106,0.101267,0.021705,0.269740,0.031068,0.786565,0.015428
p1_clahe,P1 CLAHE,3,42 43 44,5976.000000,0.000000,3325.333333,248.918327,0.038418,0.001927,0.099825,0.009489,0.292694,0.012614,0.789418,0.011006
p2_illumination,P2 illumination,3,42 43 44,5976.000000,0.000000,3029.666667,235.374878,0.037498,0.001988,0.102123,0.016136,0.281004,0.017565,0.765058,0.015487
p3_unsharp,P3 unsharp,3,42 43 44,5976.000000,0.000000,2994.666667,226.584054,0.037026,0.003853,0.101710,0.016031,0.275937,0.035187,0.793280,0.029293
a1_crop,A1 crop,3,42 43 44,5976.000000,0.000000,3882.000000,338.433154,0.052205,0.007358,0.190441,0.038454,0.383490,0.056376,0.793429,0.003617
a2_colorjitter,A2 colour jitter,3,42 43 44,5976.000000,0.000000,3035.666667,61.614392,0.038172,0.001324,0.100309,0.007322,0.291060,0.007061,0.809905,0.032665
p4_a4_combined,P4+A4 combined,3,42 43 44,5976.000000,0.000000,4956.666667,341.236477,0.065697,0.007204,0.255835,0.034707,0.449542,0.034844,0.832807,0.048086
